hidden_size,seq_length,num_layers,epochs,output_dropout,avg NSE,avg MSE,avg RMSE,avg KGE,avg Alpha-NSE,avg Beta-KGE,avg Beta-NSE,avg Pearson-r,avg FHV,avg FMS,avg FLV,avg Peak-Timing,avg Peak-MAPE
128,90,1,32,0.4,0.6827211976051331,51635.448486328125,214.05832703686258,0.7452104768709988,0.8454910814762115,1.0300793945789337,0.028873388189822435,0.8356383432517652,-14.883677661418915,-1.8797237333286816,-1051.63134930251,0.25,45.177341997623444
64,90,2,32,0.4,0.6631937026977539,54449.349365234375,220.61038574353296,0.714658394044057,0.8243953436613083,0.9956167489290237,0.009149772115051746,0.8316798817187379,-17.91445091366768,-2.244716186151293,-373.9113096271027,0.25,48.169976845383644
256,90,1,32,0.4,0.6620675101876259,51495.99267578125,216.87146086710243,0.7264332031159331,0.8569274991750717,0.9971545487642288,0.006688411347568035,0.8259808192912389,-14.468353381380439,-6.180272576638052,-1862.5322062051446,0.25,46.01732902228832
128,90,2,32,0.4,0.6611336320638657,50488.48828125,215.52263988841625,0.7227587185923168,0.8571150898933411,1.036767303943634,0.042183625511825085,0.8284999024173771,-13.493070611730218,-3.8326478035698823,-2638.5936210556474,0.25,48.02432507276535
64,90,1,32,0.4,0.6170403808355331,59468.31201171875,231.705047869094,0.6974650003975699,0.9083140343427658,1.0804035067558289,0.08101177285425365,0.8214104536356134,-9.332409780472517,-6.105127664315756,-2699.8190464405216,0.25,42.349910363554955
128,90,1,16,0.4,0.6144868656992912,65787.4228515625,237.58221950095168,0.6982993615360489,0.8326411992311478,1.004096895456314,0.004314424470067024,0.8142198281930975,-15.991023741662502,0.6934931992977615,-228.87282831436346,0.25,49.51720014214516
64,90,1,16,0.4,0.6130576953291893,65061.2294921875,238.4720451829302,0.7035177202895845,0.8998273611068726,1.0482109487056732,0.06307653011754155,0.8213958931476869,-12.373075890354812,11.345029981393402,-2660.9629641189,0.25,44.34916991740465
64,90,2,16,0.4,0.6128130182623863,67436.0517578125,239.93541880585028,0.6860085782539227,0.8235194385051727,1.0016105771064758,0.0026737668085843325,0.8125897039570859,-20.016206381842494,10.61429375021905,-254.59870197089694,0.5,50.73191039264202
256,90,2,32,0.4,0.6084138005971909,74191.375,245.4535752486874,0.6446984103065331,0.733105756342411,0.994365468621254,-0.0029923981055617332,0.8230742431297162,-24.250895343720913,-21.69673417520749,-13.603507012110803,0.5,49.685368314385414
64,180,1,32,0.4,0.5871468260884285,66192.71728515625,242.3622269178342,0.5844172841434511,0.7161978408694267,0.9536885321140289,-0.024921086616814137,0.8057051531080894,-31.175504968268797,1.8519466221807832,-1138.9562289503433,0.5,56.77313730120659
128,180,1,32,0.4,0.5770562887191772,70192.32470703125,246.44552995800862,0.5944382481298931,0.6824304237961769,0.9610451012849808,-0.024732789490371943,0.7842358713598346,-33.929286152124405,-0.056829524914367546,-2823.843801857599,1.0,58.5981048643589
128,90,2,16,0.4,0.5742862746119499,75574.3662109375,249.64845501896482,0.6513618216962493,0.853612057864666,1.0277726203203201,0.032046543434262276,0.7941167762324284,-19.06038699671626,29.05934795865506,-2625.741939141227,0.25,50.1045785844326
128,180,2,16,0.4,0.5738966390490532,82522.82373046875,256.7594899573004,0.6245766399954016,0.7320229634642601,0.9638768136501312,-0.021755634079454467,0.7714061894064674,-31.49051647633314,27.014714862357962,-337.24934849810313,0.5,59.213896840810776
128,180,2,32,0.4,0.5614318698644638,82122.79345703125,259.12668979423967,0.5919696426418168,0.6856893375515938,0.9666167199611664,-0.027978018391877413,0.771508851755588,-31.81805368512869,-5.399608518354517,-1771.6628001414354,0.5,59.182676672935486
64,180,2,32,0.4,0.5599676221609116,74372.4755859375,252.0265896100299,0.5612355648308465,0.678567074239254,0.9374863058328629,-0.0406985767185688,0.7883157524019657,-36.55562214553356,13.710303088524938,-238.71018468043596,0.5,57.56673701107502
128,180,1,16,0.4,0.5541443824768066,78293.7060546875,255.16108220567344,0.5615397466141194,0.6883045434951782,1.0756569653749466,0.0849298327229917,0.8019800859592195,-31.263356655836105,-11.964159159640781,-112.70666333261865,0.5,55.374857783317566
256,90,2,16,0.4,0.5487127974629402,81435.03662109375,261.2761237553896,0.5642100328785278,0.7351260632276535,0.7893068194389343,-0.16411830112338066,0.7982303807503013,-29.1432770434767,15.717075671559284,-423.93653651815833,0.75,56.55517354607582
64,180,1,16,0.4,0.5361323580145836,86782.20166015625,265.7671919148724,0.5592629780116434,0.6617425680160522,0.9518997967243195,-0.034517887979745865,0.7485644349549826,-36.914728209376335,4.4600901629341,-1292.1899219195288,0.5,63.44024986028671
256,180,1,32,0.4,0.5235537141561508,86269.208984375,266.2964542256915,0.5089100112818401,0.5885230079293251,0.9524407684803009,-0.035516935400664806,0.7641344325755501,-42.698656395077705,-11.809739139630452,3.0266525462786387,0.25,64.74149376153946
256,180,2,32,0.4,0.5100450068712234,83645.515625,264.9414773564334,0.5187471441009844,0.6237004324793816,0.9880975186824799,-0.006424351362511516,0.7510349404947299,-41.07503117993474,0.11339366086797309,-2399.125518975343,0.75,60.581063851714134
256,180,2,16,0.4,0.4922516718506813,94492.7958984375,275.43371487541646,0.48364777253819063,0.5844849124550819,0.9122140407562256,-0.069636395201087,0.7250308706396381,-45.19258476793766,-0.3201432512597826,-64.57082901039922,0.125,63.423675298690796
256,180,1,16,0.4,0.4824556037783623,77635.6572265625,262.1734275059652,0.4914384004299467,0.6020159050822258,0.8971016108989716,-0.08891840395517647,0.7384317066021938,-42.01393872499466,-15.799553525498242,-296.3500488009933,0.75,64.55620527267456
64,180,2,16,0.4,0.4713255241513252,93978.15869140625,278.7038896559292,0.4863280662069386,0.7161731943488121,0.8678900748491287,-0.09928033035248518,0.7505133056404906,-37.308235885575414,36.899246123588824,-3380.605290916839,0.25,60.22055298089981
256,90,1,16,0.4,0.4408807307481766,90467.552734375,280.21955195512305,0.4649144465834299,0.7027729526162148,1.2513177394866943,0.23047841456718743,0.7554109583725322,-32.19862878322601,-9.148581902186791,-1526.0844220172771,0.5,58.147720992565155
