hidden_size,seq_length,num_layers,epochs,output_dropout,avg NSE,avg MSE,avg RMSE,avg KGE,avg Alpha-NSE,avg Beta-KGE,avg Beta-NSE,avg Pearson-r,avg FHV,avg FMS,avg FLV,avg Peak-Timing,avg Peak-MAPE
128,336,1,32,0.4,0.7204352132976055,58327.6171875,229.24743040352132,0.7787637020894992,0.8656430840492249,0.9434258043766022,-0.03774677077308297,0.850632575439723,-10.856842435896397,3.900634782201312,-2379.373312372175,,42.07380201790359
64,336,1,16,0.4,0.7055211588740349,59177.02685546875,228.89261730379332,0.7411381682964486,0.8259917497634888,0.9369843155145645,-0.04358906112611294,0.8484518086808132,-15.06840530782938,-1.13855203348503,-138.36047743066075,,40.990889753614155
64,90,1,16,0.4,0.7041149437427521,54378.90673828125,225.4295759439924,0.7735253961915178,0.8578429669141769,0.9636779576539993,-0.025828116573393345,0.8372462039940525,-10.71837404742837,-1.381835545490203,-1437.6407187756804,,39.29425236943004
256,336,1,16,0.4,0.7013588957488537,60916.3095703125,233.57562126433078,0.7508448050277798,0.8929062038660049,1.018579587340355,0.025973208714276552,0.8539699219820119,-7.080407231114805,-15.51552702221506,-787.284525258028,,37.686026581041105
128,336,1,16,0.4,0.6990980803966522,62798.521484375,235.65655259935443,0.7404740212580847,0.8620283603668213,1.0021512508392334,0.012821283657103777,0.8511565445402965,-9.953836700879037,-0.21590184184792083,-1570.6425395065116,,36.97034492597475
256,336,1,32,0.4,0.6981246918439865,58801.3447265625,234.1727022724607,0.7535536426040393,0.8861222863197327,0.9479095339775085,-0.034002758853603154,0.8436137188864858,-9.344649873673916,0.011940016497500316,-1162.6344465487057,,39.28973169117183
64,168,1,32,0.4,0.6978538036346436,61418.5703125,237.79389218599664,0.7785339477382843,0.9326948523521423,0.9652647376060486,-0.0202190998243168,0.8495660737850197,-3.2686927588656545,-0.5648281331424547,-1756.3337248371004,,35.85286790198022
256,90,1,16,0.4,0.6967643946409225,59623.88330078125,233.2745987994753,0.7261156692640386,0.8445144295692444,0.8938536942005157,-0.07290368503890932,0.844265043789514,-13.606474222615361,12.548824049170733,-1758.2767895509967,,40.33053914269249
128,168,1,32,0.4,0.695828091353178,60334.482421875,234.95693780997186,0.772333238689922,0.9252890348434448,0.9538276046514511,-0.026487125200219452,0.844858846038139,-4.369282629340887,5.001960864177775,-1007.9573421987005,,38.057617787476424
128,168,1,16,0.4,0.6953751295804977,58368.32373046875,229.87864902822594,0.748465020606687,0.8599699139595032,1.002010017633438,0.010396026074886322,0.8374072101184387,-8.808618783950806,-13.156380672424271,-1148.3916893514943,,39.78825647752363
256,168,1,32,0.4,0.694490272551775,57630.8076171875,231.7815947297662,0.742193128582913,0.8282570987939835,0.9411082565784454,-0.039333415450528264,0.8333826955840844,-14.997964911162853,5.7721375278150635,-185.7674607490496,,38.060012132256894
128,90,1,16,0.4,0.6872442737221718,57528.9501953125,231.45812215923306,0.7781293395702806,0.933790534734726,0.9211213439702988,-0.05013577500358224,0.835376521602206,-4.334827233105898,9.864603456526863,-1750.8135803497512,,39.3911833684523
256,168,1,16,0.4,0.6838004738092422,63218.12353515625,241.07796706327215,0.7184420743521961,0.8638713508844376,1.0277978628873825,0.039513500640168786,0.8454352669805772,-10.606834851205349,-3.8148490969643336,14.582063932331039,,38.334167986125735
64,168,1,16,0.4,0.6799769140779972,59511.53759765625,234.01837067669607,0.7656170342585494,0.8807621747255325,0.9791438281536102,-0.007601883262395859,0.8244077297197925,-8.72538632247597,5.352443249045612,-1495.5080979865204,,40.40092837679517
64,336,1,32,0.4,0.6690798886120319,65289.68408203125,246.46137380122792,0.720128838011715,0.8631114065647125,0.9689146429300308,-0.01453228434547782,0.8326924057409719,-9.776520356535912,-3.1962299307811026,-818.3241371047195,,41.91553393563072
256,90,1,32,0.4,0.6680454015731812,64000.8974609375,242.39607213318018,0.7333069864126764,0.8344998061656952,0.9277245998382568,-0.04681306052953005,0.8192057520546737,-15.408337488770485,4.805648121861253,-618.5802227472411,,42.559462929819965
128,90,1,32,0.4,0.6590201370418072,64403.54150390625,244.68519960109484,0.7606347895103538,0.8762900829315186,0.9619578868150711,-0.023628256749361753,0.8139300541561239,-9.117401018738747,3.115838586919967,-219.09013922270304,,37.871834760183816
64,90,1,32,0.4,0.6534548625349998,64247.9931640625,245.14501968867881,0.7658708384004815,0.9256262183189392,0.9676776975393295,-0.018790310714393854,0.8171294751505893,-6.000688765197992,2.3255583674142297,-1126.843538568922,,33.997376214016924
