hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,120,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8469734936952591,26215.3125,161.91143412372085,0.8668328583097902,0.9026873106469763,0.9547680616378784,-0.034605013924290495,0.9211469729888093,-8.93850103020668,-11.406188484489084,21.948886916246625,0.2,32.73711442947388
256,120,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8445372879505157,26632.6640625,163.1951716886869,0.9057264404365305,0.961530617586707,1.0323582887649536,0.024755891740761194,0.9202469323617535,-2.735210210084915,-11.024762183106724,-10.625675075752216,0.2,29.361987113952637
128,90,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8444221913814545,26652.380859375,163.25556915270914,0.8579923421172819,0.8859042088444498,0.9733110070228577,-0.020418606125803034,0.9197751722233682,-11.000949144363403,-16.66405172767292,26.31496448454227,0.2,36.208577156066895
128,90,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8443014025688171,26673.07421875,163.31893404853585,0.8871822433840151,0.922019328109666,0.9917961955070496,-0.006276363802595809,0.9188855215683591,-5.95518983900547,-8.647544640508917,48.50049226668317,0.2,36.62187576293945
256,90,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8435792624950409,26796.78515625,163.69723625110473,0.8537775616041094,0.8793250276679375,1.0181576013565063,0.013891553481883676,0.9194465763851458,-11.119377613067627,-19.536665007886143,50.74229825529779,0.6,39.789748191833496
64,120,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8431182503700256,26875.76171875,163.9382863114959,0.8418574762039128,0.8646467536163709,0.9831542372703552,-0.012887987064455788,0.9199701505432811,-10.985933989286423,-10.534291986285956,28.192752033977662,0.2,36.468753814697266
256,90,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8430684506893158,26884.294921875,163.96430990271938,0.8760634996544014,0.9076609035268234,0.9873971939086914,-0.00964186149736445,0.9182998368480404,-8.137081563472748,-21.706365727927952,1.8309714828108132,0.2,35.747950077056885
64,90,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8430212885141373,26892.373046875,163.9889418432688,0.8550437834899223,0.8801287803324281,1.0091696977615356,0.0070153797604152,0.9190116548922787,-10.761719942092896,-11.802959739885537,32.99981289277824,0.2,37.27394104003906
256,120,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8425102233886719,26979.92578125,164.2556719911066,0.8556824669683503,0.8809932881749336,1.0071303844451904,0.005455136651224725,0.9186728182057764,-10.498970001935959,-12.62041006792015,70.4292283854918,0.2,38.70491027832031
64,90,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8422583490610123,27023.076171875,164.38697080935276,0.8307712402216397,0.8509807463596663,0.9902433156967163,-0.007464407714432968,0.9203982268287578,-12.780675292015076,-18.502642439988453,43.83491573031962,0.2,39.670164585113525
256,120,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8415132611989975,27150.71875,164.77475155496367,0.8824056913866323,0.9164020547637147,1.002768635749817,0.002118173245159678,0.9173432420995605,-7.307140529155731,-16.098296534244746,18.536947224749433,0.2,37.00680494308472
64,90,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8413195759057999,27183.8984375,164.87540276675597,0.8584755578975046,0.8906582277921022,0.9630881547927856,-0.028239655583024825,0.9180789389335233,-10.618801414966583,-3.857001552411009,16.472633795010264,0.2,36.651060581207275
256,90,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8411976993083954,27204.77734375,164.93870783945775,0.8718428307916397,0.9021847532521348,0.995895504951477,-0.003140172665626062,0.9172981823443331,-9.052280336618423,-13.235269114193414,58.32525651045805,0.2,41.94798469543457
256,90,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8408156335353851,27270.228515625,165.13699923283394,0.8837450504367447,0.9192118342828788,0.990074872970581,-0.007593291271678133,0.916994112067469,-5.954023450613022,-15.00096182274818,50.39871644047057,0.2,33.18704605102539
256,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8406279236078262,27302.384765625,165.23433289006556,0.8238200416213893,0.856324326476502,0.9362977743148804,-0.048735827785613854,0.9203840153322193,-12.522205710411072,-14.163581998882918,49.20382298116152,0.2,40.160932540893555
256,90,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8400871753692627,27395.0234375,165.5144206330675,0.8793965404393174,0.9146223114543418,0.98236483335495,-0.013491925976009077,0.9166642594440589,-7.401958107948303,-9.65239285139216,62.847943408723985,0.2,37.93999195098877
128,120,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8400547355413437,27400.580078125,165.53120575325065,0.8794935223467921,0.9172718713110952,1.0274450778961182,0.020997033761151047,0.9167856047351716,-5.672910064458847,-20.914641878351535,41.197495519072454,0.2,33.55569839477539
128,90,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8399407416582108,27420.109375,165.59018502012734,0.8707758205446664,0.9015775701320466,1.0077871084213257,0.005957546582041978,0.9166256946222243,-9.118122607469559,-10.033326598695055,63.59632163579646,0.2,34.4093132019043
