hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7575408816337585,52959.65234375,230.12964247082556,0.8550099099132443,0.9341803658269344,0.97818922996521,-0.014778546748049765,0.8726650390066465,-7.362803816795349,-27.152934241140862,-1395.080382054696,,45.04561424255371
256,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7475403845310211,55144.03125,234.82766287215821,0.8369989596635559,0.9148201019630725,0.9619141817092896,-0.02580621949145924,0.8663467375395995,-8.98568481206894,-22.59324072357035,-1386.5564915027787,,46.91019654273987
64,336,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7384339570999146,57133.12109375,239.0253565916177,0.844127091237774,0.9466089925903212,1.054478406906128,0.03691348966904967,0.8640666810721256,-4.9409419298172,-19.441351577465436,-1399.6540754733403,,48.30820560455322
64,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7322764992713928,58478.07421875,241.82240222682017,0.8259413466351155,0.9025203068138277,0.9811556339263916,-0.012768564616008657,0.8570349200160733,-9.934672713279724,-20.287187074470786,-1396.3513860356577,,43.77276003360748
128,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7269699573516846,59637.16796875,244.2072234164051,0.7821264343428022,0.8501352046326621,0.9402104020118713,-0.0405122862133065,0.8535942702825289,-13.815230131149292,-23.716987599291183,-1390.817876512499,,48.84682297706604
128,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7243904173374176,60200.6171875,245.3581406587114,0.7970377338444424,0.8620084123844466,0.9977460503578186,-0.0015272390386040374,0.8511815772783862,-13.694071769714355,-24.079990250418316,-1401.6534255642987,,48.46588373184204
128,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7152529060840607,62196.4921875,249.39224564428622,0.8288351586626082,0.9203600572631385,0.9907456636428833,-0.0062705670236514735,0.848774209575505,-8.840424567461014,-25.924359804162794,-1398.0011299938176,,48.96092414855957
128,168,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.712091863155365,62886.94921875,250.77270429364916,0.827395070051937,0.9237019741469623,0.9733579158782959,-0.01805216263420885,0.847483533849761,-7.315407693386078,-30.221946243950264,-1392.313947445253,,47.4697083234787
256,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7105714976787567,63219.04296875,251.43397337820122,0.8295347692215096,0.9311508313263114,1.0320427417755127,0.021711555092263808,0.8473846351876267,-8.836600929498672,-24.09369494615442,-1403.4438763863461,,48.20356369018555
256,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7080478072166443,63770.28125,252.52778312494647,0.8119870961294349,0.9137976765123709,0.9368093013763428,-0.04281682455994176,0.8453230881655874,-7.342684268951416,-34.40901710113042,-1395.9444726704683,,48.24715852737427
64,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7074106335639954,63909.45703125,252.80319822195685,0.8374599507377943,0.9634421848379099,1.0490829944610596,0.03325768856364438,0.84942226784989,-3.464323654770851,-23.714697120895174,-65.18175436299867,,42.51483678817749
128,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7029533684253693,64883.04296875,254.72150079793028,0.8345165697462308,0.9440999430346172,1.0056346654891968,0.003817934353207835,0.8443458967304559,-6.375562399625778,-35.82186052506723,-66.73079046479563,,55.60375452041626
256,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.701604962348938,65177.57421875,255.29898985062593,0.833778685389104,0.9442972062410657,1.0092968940734863,0.006299363142169767,0.8436660882629413,-2.820410206913948,-28.787915894850393,-1400.8855406654736,,41.27124547958374
