hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7513963282108307,54301.7890625,233.02744272402768,0.8228919171728628,0.8879222418607543,1.034964680671692,0.02369143515936856,0.8673978875028326,-12.664154171943665,-16.026782733978486,-1402.989900657126,,42.20229387283325
64,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7443006336688995,55851.68359375,236.32960794989273,0.8285560220819677,0.9043818681354558,1.042345404624939,0.028692426372699868,0.8641431741492405,-10.222110152244568,-16.52633607214755,-1403.377925046276,,41.15304350852966
64,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7439200282096863,55934.81640625,236.5054257437871,0.8423280642479374,0.9322048606803301,1.0470857620239258,0.031904401587926366,0.8656601718660644,-7.830750197172165,-19.838406007413205,-1403.0075090246205,,40.67374765872955
256,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7383833825588226,57144.171875,239.04847181063508,0.7897612757986306,0.8444749063701715,0.98354172706604,-0.011151802950446385,0.8594959372214318,-17.089520394802094,-22.253868174562026,-1401.6534255642987,,45.96509337425232
128,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.736797571182251,57490.5546875,239.77188051875476,0.8377424204924112,0.9317159796387282,1.0509107112884521,0.03449611755189374,0.8618952783317428,-7.989475876092911,-21.777448668192626,-1406.5152559055791,,38.57068419456482
256,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7361578941345215,57630.27734375,240.06306951247208,0.8628254390069076,1.0070804496948134,1.0414302349090576,0.028072297716082547,0.8694233441569774,1.0475795716047287,-13.938820802818693,-5.862986090389783,,39.527761936187744
64,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7356160581111908,57748.62890625,240.30944406379456,0.8128625758922758,0.8812322701449418,1.0284461975097656,0.01927459377883693,0.8582062917686911,-14.328661561012268,-14.811378547777455,-1400.0734747718438,,40.42046070098877
128,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7328625619411469,58350.06640625,241.55758403794735,0.82493491031916,0.9014326493395437,1.024239420890808,0.016424169829451232,0.8573651042569965,-12.170891463756561,-12.386181847445606,-1399.5519469418725,,38.13794255256653
64,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7274185419082642,59539.1875,244.00653167487135,0.837150053402036,0.9339375250904955,1.0406572818756104,0.027548613202439193,0.8568118721880966,-5.876779556274414,-19.405238368088398,-1406.1020995737324,,43.006229400634766
128,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7271003127098083,59608.69921875,244.14892835879908,0.8336810178754666,0.9348666406696267,1.054623007774353,0.03701150094772532,0.8570455445291602,-9.554377943277359,-10.645914536799634,-1399.1335080997776,,41.33698344230652
256,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7268657088279724,59659.94140625,244.2538462465842,0.8445355385953506,0.9426503425105671,1.0205758810043335,0.013941826877996657,0.8569725597426215,-6.34990856051445,-16.43208288615188,-118.3317512360702,,42.18810200691223
64,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7254917323589325,59960.0546875,244.8674226750059,0.8102000395341095,0.8814860808312923,1.0127995014190674,0.008672659567716064,0.8523021709044106,-14.128510653972626,-19.43062450364414,-1401.2479528837225,,41.5668785572052
128,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7253064513206482,60000.5234375,244.9500427383102,0.8119721366876816,0.8913267135780033,1.0441075563430786,0.029886453182735074,0.8530336171994402,-12.874770164489746,-16.021552808307604,-1404.2367331517999,,43.87049674987793
256,168,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7247857451438904,60114.26171875,245.1820990993225,0.8029115029807983,0.8705355895211904,1.0071395635604858,0.0048376173164316,0.8515686397393464,-14.998456835746765,-22.363582089730745,-1404.0273536546842,,44.709545373916626
128,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7243947386741638,60199.671875,245.35621425796413,0.8320036226530052,0.9202197986178385,1.0221997499465942,0.015042086735214923,0.8538320371235738,-7.972632348537445,-13.63017883895679,-1397.817042515467,,44.667235016822815
