hidden_size,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE_1D,NSE_1H
256,90,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8137855529785156,0.7648520916700363
256,90,168,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8092276453971863,0.7539702951908112
128,90,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.808310478925705,0.7797619253396988
128,90,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8076808899641037,0.7628988176584244
64,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8074714094400406,0.7151602208614349
128,90,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8060808181762695,0.7527985870838165
256,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8055844008922577,0.750921368598938
256,90,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8041784316301346,0.7444287836551666
64,120,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.80339515209198,0.7503624707460403
256,90,168,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8008216172456741,0.7618261575698853
256,120,168,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7988414764404297,0.7728381007909775
128,120,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7983989417552948,0.7564515471458435
128,90,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7982333153486252,0.7255820333957672
128,90,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7980304509401321,0.7540163397789001
256,120,336,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7979326546192169,0.7755579799413681
64,90,168,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7977433204650879,0.737562745809555
256,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7976651936769485,0.7524336278438568
128,120,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7970543652772903,0.7345400750637054
128,120,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.795874834060669,0.764926865696907
256,90,336,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7957485765218735,0.7451929748058319
256,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7956807017326355,0.7375771105289459
128,120,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7952300608158112,0.7461373507976532
128,90,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7948639392852783,0.7203327715396881
64,90,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7898494601249695,0.7451031506061554
256,90,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7892776727676392,0.7215347290039062
64,90,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.788904994726181,0.7473107278347015
