hidden_size,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE_1D,NSE_1H
64,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8455449789762497,0.7515447586774826
128,90,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8449099361896515,0.777283638715744
256,120,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8426292836666107,0.734619528055191
256,90,168,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8424150943756104,0.7683762907981873
128,90,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8420073837041855,0.7667614370584488
128,90,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8416748642921448,0.7786516398191452
256,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8416467159986496,0.7509369850158691
128,120,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8415180444717407,0.7544954568147659
256,90,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8414237946271896,0.7709250897169113
128,120,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8412429243326187,0.7539137154817581
128,90,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8407795131206512,0.7583567649126053
64,120,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8407052457332611,0.7495816051959991
256,120,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8404573351144791,0.7707911133766174
128,90,336,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8404140919446945,0.7701182514429092
64,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8402638584375381,0.7539682239294052
128,120,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8402592986822128,0.7524729520082474
256,90,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8401841670274734,0.7705067694187164
128,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8399030268192291,0.7643349021673203
128,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8398203253746033,0.7745751291513443
256,120,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8397230952978134,0.7595938444137573
128,120,336,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8395287990570068,0.7614380717277527
256,90,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8395216763019562,0.7576511949300766
128,90,168,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8389246016740799,0.757499486207962
256,120,336,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8387811034917831,0.7631218135356903
256,90,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8385418504476547,0.7629037946462631
64,120,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8385205119848251,0.7348944246768951
128,90,168,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8383343666791916,0.7728865295648575
64,120,336,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8377575576305389,0.7426503002643585
256,90,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8377417325973511,0.7342655658721924
256,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8375561088323593,0.7604474276304245
128,120,168,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8373756557703018,0.7675925493240356
128,120,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.837310403585434,0.7304413914680481
256,90,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.837194174528122,0.7564904540777206
256,90,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8371939212083817,0.760776937007904
64,120,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8367184996604919,0.7790456563234329
64,90,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8366578966379166,0.7249950766563416
128,120,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8366422802209854,0.7694786787033081
