hidden_size,seq_length,num_layers,epochs,output_dropout,avg NSE,avg MSE,avg RMSE,avg KGE,avg Alpha-NSE,avg Beta-KGE,avg Beta-NSE,avg Pearson-r,avg FHV,avg FMS,avg FLV,avg Peak-Timing,avg Peak-MAPE
128,90,2,32,0.4,0.7601617313921452,8351742.21875,2528.459795468332,0.7465176729106782,0.9956472367048264,1.0914515107870102,0.03567766770720482,0.9016553073029452,-13.149982504546642,69.77816962298317,-627.3406967165913,0.375,35.6563251465559
256,90,1,32,0.4,0.7525354027748108,8474990.5625,2544.622054829808,0.732277235541738,1.0024963021278381,1.1417976766824722,0.06054322863928974,0.9078884011009175,-11.45537942647934,382.83905069567476,-458.2515012194814,0.375,30.774758383631706
256,90,1,16,0.4,0.7307218760251999,8951798.84375,2669.3555753824694,0.6620870270656367,1.0235343128442764,1.2245950996875763,0.10019061900675297,0.889229723893984,-12.565950397402048,224.72587951627804,-1857.413561178809,0.375,32.33443908393383
256,180,1,32,0.4,0.7232895568013191,12307896.5,2872.495434000992,0.714081485204674,0.9272173568606377,1.0116102397441864,0.014240585500374436,0.8845500024086727,-22.14892883785069,366.9703955767441,-1092.6515549150909,0.375,42.822953686118126
128,90,1,32,0.4,0.7180789858102798,9015713.21875,2661.04592600962,0.6986144062238568,1.013029158115387,0.9752919375896454,-0.012481209356337786,0.8904160171940017,-14.472136087715626,579.6651886253037,-486.35516314013313,0.375,36.24329902231693
128,90,1,16,0.4,0.7142036110162735,9930546.375,2769.865817485115,0.6193712151558636,1.0188096761703491,1.2882940471172333,0.12695809733122587,0.8835607530628831,-13.127805781550705,2.952249948629114,-2146.305727396062,0.25,37.222786992788315
256,90,2,16,0.4,0.7083657495677471,10354951.265625,2812.1580603807583,0.6733467770512221,1.0407488644123077,1.204708993434906,0.09372844360768795,0.8880248879982215,-11.068615224212408,36.344905125173185,-1576.8873448995394,0.375,35.6530100107193
256,90,2,32,0.4,0.7081965319812298,9098786.25,2726.1950918472394,0.6418831177319838,1.0977941900491714,1.1753088682889938,0.07996789499884471,0.9004404161820805,-6.550355069339275,254.25723981108118,-460.556118261597,0.375,28.845027275383472
128,180,2,32,0.4,0.7056410573422909,13293487.4375,2938.2996811225667,0.7254313983169274,0.9043131619691849,1.001575380563736,0.001852311659604311,0.8603436768832673,-25.584249338135123,362.58867938217435,-1093.6447680818103,0.125,43.60223188996315
128,90,2,16,0.4,0.7029121406376362,9479759.0625,2730.257006469069,0.707301794138188,1.0280089527368546,1.107946589589119,0.042047892697155476,0.8804516892573944,-13.95427449606359,348.38769253837313,-918.5261421992458,0.125,35.54411865770817
256,180,1,16,0.4,0.6832819730043411,13688213.671875,3058.530103957326,0.6388448154567514,0.9414657652378082,0.9664496034383774,-0.004999163560569286,0.8651444555570897,-23.61198617145419,370.147603692894,-652.5512471300358,0.125,43.10036897659302
256,180,2,32,0.4,0.6718727126717567,13052221.84375,3039.4478514215198,0.6210738767200421,0.9993805214762688,1.1289375573396683,0.06702622957527637,0.869120644645506,-16.165878134779632,243.60425381783747,-595.2763115813943,0.375,39.35178406536579
256,180,2,16,0.4,0.6564374454319477,13482913.34375,3100.4601503664526,0.6544893870226186,0.9472034275531769,1.0856897234916687,0.04595220182090998,0.8598910040420733,-23.426589788869023,343.20425039830286,-1436.924799795776,0.375,45.018523186445236
128,180,2,16,0.4,0.6358043812215328,14682467.375,3213.2896723787867,0.64373855414473,0.9366490840911865,1.0095840096473694,0.018441032618284225,0.8342324802571655,-27.382080256938934,551.0611785089925,-496.6461396276217,0.375,45.97716927528381
128,180,1,32,0.4,0.623606950044632,14044117.84375,3147.931089607911,0.6081911194554857,0.9618786573410034,1.1908413767814636,0.0860541071742773,0.8420251975894495,-22.197369765490294,362.50998004265125,-1293.1660510154406,0.375,42.40180850028992
128,180,1,16,0.4,0.5580303557217121,15576067.625,3370.5717474141215,0.5172060347994296,0.9644790366292,1.2396986782550812,0.11282003298401833,0.8142367913883333,-23.44728596508503,34.2948689326131,-2308.295255071604,0.875,46.116410195827484
