hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,90,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8143985718488693,4594695.5,2143.524084306029,0.8800515025487712,0.9617597753685384,0.9379509091377258,-0.02994829362484968,0.9047359585987029,-1.7791375517845154,33.30430958051075,-921.1989416321112,0.6,38.665428161621094
128,90,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8108408749103546,4682769.0,2163.970655993283,0.8219849700163253,0.9014353111911603,0.88871830701828,-0.053710674332075284,0.9020676875223126,-10.756310820579529,28.732645541249685,-826.4985013680434,0.6,41.09008312225342
256,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.791172444820404,5169674.5,2273.691821685604,0.8442744084684782,0.9018716278931006,0.95003741979599,-0.024114692214190478,0.8898863177218648,-9.84438732266426,16.14075646579579,-2049.885008529107,0.6,44.96840476989746
256,90,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7832472026348114,5365870.0,2316.434760574966,0.8882673009206307,0.985787910828093,0.9850341081619263,-0.007223367261880111,0.8901900066186063,-0.9266641922295094,10.911322677278747,-1838.5407263284535,0.8,38.433780670166016
256,90,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7793243080377579,5462984.0,2337.3027189476334,0.8700715417931395,0.9408625998862005,1.0080949068069458,0.0039070266616394395,0.8845935675814423,-5.6271743029356,-13.87783894322911,-2285.833921690895,0.6,37.93992519378662
128,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7788363397121429,5475064.0,2339.8854672825337,0.8080222875472022,0.8716235750766008,0.9175300598144531,-0.039804526977149604,0.8834940148821173,-15.718960762023926,88.64721028271715,-62.175465609119094,0.6,46.051740646362305
64,90,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7743001282215118,5587361.0,2363.75992858835,0.7432406372369319,0.8331913946491438,0.8424830436706543,-0.07602634524604199,0.884723514903784,-16.29636138677597,0.7271269373198637,-1387.871841341912,0.8,50.33742904663085
128,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7732699662446976,5612863.5,2369.1482646723484,0.7745505702504512,0.8343459753955065,0.9028608202934265,-0.04688471248731335,0.8818891653036665,-18.130746483802795,22.858905568706593,-963.8936876460047,1.0,44.85448360443115
128,90,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7716277688741684,5653517.0,2377.7125562186866,0.8773654778105331,0.9733513146322329,0.9740941524505615,-0.012503574636947408,0.8831327220152969,-3.74893955886364,71.77930799662082,-251.84149503658705,1.0,35.24956703186035
256,90,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7649962157011032,5817686.0,2411.9879767527864,0.8522923129146656,0.9236755884240057,0.9750754237174988,-0.012029965909200198,0.8760205238000456,-9.517660737037659,29.24195729634334,-944.947523197055,1.2,43.88768672943115
256,90,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7616525143384933,5900462.0,2429.0866596315577,0.8633833714625017,0.9468654383981858,1.0196105241775513,0.009465108697422906,0.8756768368411683,-10.561130940914154,24.824510560354188,-1237.71906141005,1.2,36.983702182769775
128,120,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7598107159137726,5946057.0,2438.4538133825704,0.800670006425698,0.8618373624095987,0.9341229796409607,-0.03179586816130489,0.8723138609675685,-17.4733504652977,36.467926398873516,-961.0213971242988,1.0,47.35407829284668
256,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7571224868297577,6012605.5,2452.0614796533955,0.8550603696702777,0.9363809816164052,1.0268229246139526,0.012946221169583917,0.8725612003541362,-8.51849690079689,19.212262104366673,-1676.4033838604619,1.2,41.17691993713379
64,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7525357007980347,6126154.5,2475.1069673854504,0.7711976057034811,0.8237571009414666,0.9352604150772095,-0.031246890286663803,0.8692415879903395,-16.366367042064667,-13.457201665442284,-2336.353414593151,0.6,49.61709022521973
64,90,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7484217882156372,6227997.5,2495.59562028787,0.7770048125475547,0.8431386499854856,0.9147137999534607,-0.04116382131780991,0.8664049604955449,-15.351641178131104,4.089562659337579,-1452.806197213638,1.0,49.231810569763184
128,120,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7462339699268341,6282158.5,2506.423447863509,0.7738637267815452,0.8198743140966016,0.9777798652648926,-0.010724646869049836,0.8650977503697008,-23.295068740844727,14.918498891878315,-1415.383595668844,1.2,50.15760898590088
64,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.738770991563797,6466910.0,2543.0119936799356,0.7275285589327605,0.7938761783053444,0.8846408724784851,-0.05567866285712267,0.8641842129032015,-24.05635714530945,13.983734698922612,-1160.3775044938805,0.8,56.10872268676758
256,90,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7352322041988373,6554515.5,2560.1788023495546,0.8508240682931792,0.975529365213174,0.9414088129997253,-0.028279328264627354,0.8650121507704243,-6.285534054040909,153.7562186494884,44.63744710363612,1.2,40.330562591552734
64,120,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7349157333374023,6562350.0,2561.708414320412,0.6716198757520766,0.7375898026329348,0.8509998321533203,-0.07191568449611506,0.8704880534447854,-30.893903970718384,16.53014241054539,-1060.6862272293881,1.0,54.963340759277344
