hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,90,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8714571446180344,3182170.0,1783.863784037335,0.9156312714388186,0.9828737352851064,0.9489267468452454,-0.024650765085164193,0.935066986608228,0.6562803871929646,17.525634269390945,-1043.2544529299644,0.0,23.811955451965332
256,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8495406657457352,3724727.75,1929.9553751317671,0.9026190057638196,0.9823683301985133,0.9417484998703003,-0.028115390556442167,0.9239806275277286,-0.21594117861241102,29.35695464872805,-1259.4929432413212,0.2,27.4132227897644
128,90,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8373582810163498,4026311.5,2006.5670933213273,0.9143572241071197,0.9819798061717517,1.0135233402252197,0.006527085885301898,0.9173738724967494,1.7392776906490326,-9.993364337134603,-2357.4396702799427,0.0,25.412740707397464
128,90,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8354522138834,4073497.75,2018.290799166463,0.9052527738971932,0.9753467324236303,0.9634904861450195,-0.017621512631299824,0.9161172923061176,-1.2821721844375134,19.072981238818297,-1077.200994655461,0.2,27.470667362213135
256,90,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8319784253835678,4159493.5,2039.4836356293717,0.8706337156371392,1.0749574625563527,1.0741655826568604,0.03579637022973654,0.9250568169468767,12.185651808977127,-1.1581498544846183,-2514.3314444487714,0.2,21.438522338867188
128,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8296742290258408,4216536.0,2053.4205609178066,0.8845731085848333,0.9267946738351099,1.006678581237793,0.0032234540149085667,0.9110070562599992,-5.8078184723854065,-13.879519528510265,-2042.7796243765076,0.0,27.66104698181152
128,120,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8247452080249786,4338557.0,2082.920305724633,0.8738362577679861,0.9523819103841216,0.925675630569458,-0.03587301515646066,0.9098573602335025,-6.720510125160217,66.85390908014749,-119.07488418049512,0.0,25.226216316223145
64,90,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8214383870363235,4420419.5,2102.4793696966444,0.8949604379390175,0.9579891590118241,1.027767539024353,0.013402165253527875,0.9078188597707739,-2.0708100870251656,11.600513706398138,-909.5018790702732,0.0,26.66945457458496
256,90,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8198977261781693,4458560.0,2111.5302507896968,0.8883898836359334,1.0678275216328097,1.0335159301757812,0.016176642905103768,0.9179455802018966,11.775361746549606,-10.799327718823294,-2225.058607403734,0.2,21.6060471534729
256,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8177470117807388,4511802.5,2124.100397815508,0.8863546266140588,1.0115991939426758,1.069113850593567,0.03335815870033757,0.9105348936845191,1.4932842925190926,3.1495867637122252,-2213.8426896272313,0.2,22.94851779937744
64,120,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8173448592424393,4521758.0,2126.4425691751,0.8369934202678074,0.8676577644058605,1.0006190538406372,0.00029877782255001694,0.9048354347129388,-19.288764894008636,0.6778612407071043,-1596.8046586471414,0.6,28.013761043548584
128,90,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.815527006983757,4566760.0,2136.9978942432303,0.8991055344142367,1.0003576109001058,0.9585891366004944,-0.019987151915740433,0.9079961647930458,2.8303563594818115,13.442699536274555,-989.3671400461628,0.0,20.777108669281006
64,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8138519376516342,4608228.0,2146.678364357362,0.8788759829378057,0.9289706635409407,0.9887039661407471,-0.005452094172963949,0.902540980455788,-9.539130330085754,37.623451519042625,-748.1425991308663,0.2,28.80838871002197
128,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8136315643787384,4613683.5,2147.9486725711117,0.8395067734703595,0.9126429388628641,0.9064289927482605,-0.045162507853406225,0.9031945960533602,-7.94321745634079,-1.3872381761810524,-1375.4912164674051,0.2,27.884197235107422
