hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
128,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8805354088544846,3106373.0,1762.4905673506455,0.852026794400971,0.882395755192778,0.9325411915779114,-0.0317679240589188,0.9407157664733071,-12.05989345908165,-3.7438793813695144,-2879.25612834652,,32.85324176152547
128,336,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8712908029556274,3346755.5,1829.4139772069088,0.9352280723269878,1.0039627495414742,1.0085322856903076,0.004018048397558845,0.9359149055438908,2.711137570440769,-16.36809085036498,-2927.5472684078636,,23.19223086039225
128,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8649587780237198,3511403.75,1873.8739952302021,0.9002834208307915,0.933977474836866,0.9735109210014343,-0.012474320743323872,0.9301233155759367,-5.270693078637123,-13.134429615404223,-2918.1945107489396,,30.69470723470052
256,168,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8586361855268478,3675806.75,1917.239356470652,0.9016321111735887,0.9565524308802601,0.9498427510261536,-0.023620224117885096,0.9273859471925288,-5.111999809741974,-3.2358834060572272,-2788.7845087595506,,29.53621546427409
64,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8555771261453629,3755349.5,1937.872415821021,0.8511545193324814,0.8773702143029366,0.958623468875885,-0.019485162383295476,0.9264820059633556,-14.8230642080307,-18.712481357142174,-2927.82491175323,,35.28693914413452
256,336,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8525631576776505,3833720.5,1957.988891694741,0.843399732430767,0.8828806615256126,0.9280993342399597,-0.03385970503063509,0.9249200518024938,-11.654076725244522,-6.610422625875309,-2881.845794944836,,26.67776147524516
128,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8522640466690063,3841498.0,1959.9739794191146,0.9178010843404258,0.9961821286736874,0.9644238352775574,-0.01675363828170798,0.9259971480428819,1.2291458435356617,-11.521133399366077,-2846.625201085789,,29.05939817428589
128,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8510710299015045,3872519.25,1967.8717564922772,0.8414968234278093,0.8749420439261556,0.9387294054031372,-0.028853746159961252,0.9243053578920255,-13.975954055786133,-10.51665459381891,-2903.1807744962853,,27.812602122624714
128,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8494456261396408,3914784.0,1978.5813099289096,0.833745633307612,0.876282622255477,0.9193434715270996,-0.03798303670484315,0.9236517891302864,-13.74613344669342,-8.99130654591783,-2876.6601944040644,,30.885444084803265
256,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8484835475683212,3939800.5,1984.893070167761,0.9031954469928729,0.9786523434170997,0.9451228976249695,-0.02584290298790013,0.9231631424624311,-2.2606752812862396,-6.839823478291201,-2899.6500661754685,,28.221420447031658
64,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8470161259174347,3977956.75,1994.4815742442947,0.901826252136357,0.9424216819776671,1.0042179822921753,0.001986354061674647,0.9205957766318684,-6.544650346040726,-8.196075799739248,-2741.2880679350574,,28.107798099517822
256,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8453040570020676,4022474.75,2005.6108171826359,0.811688164373136,0.861177943196632,0.8989427089691162,-0.047590243424128154,0.9226875953579197,-14.555397629737854,-1.9472732065198717,-2846.2742298139938,,27.850141127904255
128,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8413557261228561,4125141.0,2031.0443126628231,0.9103130136213952,1.0483765883698701,1.0121948719024658,0.005742846051623373,0.9254698294470578,5.838479846715927,-5.7716488201943195,-2901.66501731622,,28.059005737304688
256,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.839904710650444,4162871.25,2040.3115570912203,0.9109482924241492,1.042305300627563,1.0194848775863647,0.009175875641825815,0.9241000151091534,4.845039919018745,-16.048538815362935,-2963.9580309189446,,32.95854727427165
256,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8345394134521484,4302382.0,2074.2184070150374,0.8815740354256584,0.9590543330651539,0.9281772971153259,-0.03382298275997117,0.9152081324951284,-3.2404672354459763,3.584879208087518,-2839.122563416756,,30.17139434814453
128,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8324229568243027,4357415.0,2087.44221476907,0.9085771830852788,1.0426664907317202,1.0149433612823486,0.007037174428583275,0.9205368137132177,6.808749586343765,-17.557986845935815,-2918.25217031502,,34.36831633249919
64,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8303680419921875,4410848.0,2100.2018950567585,0.8426555241603109,0.8868519333150376,0.9349606037139893,-0.030628576112387958,0.9121098639580465,-13.510634005069733,-22.435096859916147,-2902.0868095767883,,35.83780924479167
128,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8288589864969254,4450087.0,2109.522931849758,0.8569044635851112,0.9160859249425515,0.9256207346916199,-0.035026917855296824,0.9111040752266828,-8.892133831977844,-7.3563058483943236,-2397.0109464150814,,32.624657948811844
256,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8286716043949127,4454959.5,2110.6774978665026,0.8957365838505994,0.971479770577255,0.9509732723236084,-0.023087823009954562,0.9125137928918963,-2.5735922157764435,-18.551488892532305,-2953.6595310294156,,27.797142664591473
64,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8284384906291962,4461021.0,2112.112923117512,0.9135237512617036,1.0131457110973265,0.9875932335853577,-0.005842623381562873,0.915434025620668,1.9091293215751648,-10.540830282816726,-2645.0818284607217,,28.89705499013265
256,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8279606252908707,4473447.0,2115.052481618364,0.9141698325229142,1.008065206495983,1.0051277875900269,0.002414812471285291,0.9147035997960447,0.9876207448542118,-10.261871183620048,-2934.275889075706,,32.6346218585968
128,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8273428082466125,4489511.5,2118.8467382045355,0.8940418896885765,0.9843359167554481,0.9418759346008301,-0.027371976205883723,0.9128028059032369,-0.8696598000824451,-0.8782748125855047,-2816.485543120389,,32.06152319908142
256,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8255090415477753,4537194.0,2130.0690129664813,0.8765263659640142,1.0898260254897563,1.0369938611984253,0.017421246289710084,0.9237866305665611,10.334991663694382,-5.818908269289101,-2882.673711105624,,31.204962730407715
128,336,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8238091468811035,4581395.0,2140.419351435601,0.9113304513632743,0.9979358923952247,1.0081684589385986,0.0038467416381905485,0.9117316331078624,-0.836615078151226,-7.946924443871098,-2908.7211067153353,,24.09275770187378
64,336,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8235912173986435,4587062.0,2141.742748324364,0.8904042460746182,0.9641128138796586,0.949722170829773,-0.023677007185691358,0.9094711148595859,-3.6584142595529556,-17.6326594574362,-2838.24701544051,,34.06879901885986
64,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.821109727025032,4651587.0,2156.753810707193,0.8726503338909707,1.0744100449917238,1.065139651298523,0.030675783620699067,0.9197634217384756,9.521590173244476,-12.614364952240411,-2917.7702115507154,,31.24816616376241
128,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8178806006908417,4735552.0,2176.132348916306,0.8910311232954882,0.9538607411061725,0.9706290364265442,-0.013831464790571981,0.9057517566331437,-5.908183008432388,-19.583917246611815,-2922.774685845865,,29.701103766759235
64,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8152208924293518,4804711.0,2191.965100087134,0.9000327706982892,0.97104494442058,0.9862669110298157,-0.006467237127431737,0.9053086384193864,-1.1466133408248425,-15.9923523685875,-2720.3269354615113,,33.0715537071228
