hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.9231951460242271,1997115.0,1413.1931927376384,0.9603427926969913,1.0015789140051559,0.9899480938911438,-0.004733677836429143,0.9616703730096826,2.453644387423992,-6.2760816590932995,-2928.3006031733953,,21.273728211720787
64,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.92192542552948,2030130.75,1424.826568393501,0.9587932642571309,1.009088450783635,1.0110914707183838,0.005223228315618868,0.9613687379155259,3.0046306550502777,-0.6263457428467656,-2447.761862367456,,22.70480990409851
256,336,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.9157658442854881,2190295.0,1479.9645266019047,0.9094538773784762,1.0779894848866072,1.0284298658370972,0.0133882600193388,0.9638339482746823,12.147343903779984,-3.7942230506930184,-2651.6966968324377,,23.69194428126017
64,168,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.9125057309865952,2275066.0,1508.3321915281128,0.9337735254665878,1.010116291339845,1.0493494272232056,0.023239787139142647,0.9570088310068962,3.575364127755165,-19.39426643751642,-2652.5970008180334,,26.605814695358276
64,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.9073430523276329,2409308.5,1552.1947364941036,0.9523856011620997,1.0121250522107381,1.0056438446044922,0.0026578401712722874,0.9543025044049254,2.5994572788476944,-8.589361770519895,-2706.4892663365777,,22.23871946334839
64,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.9066099748015404,2428370.25,1558.3228965782412,0.9340503340448719,1.041141678637712,1.0269120931625366,0.01267354025862054,0.9560402461326821,6.774990260601044,-8.193547122284642,-2880.1883957872255,,21.22939030329386
64,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.905240960419178,2463968.0,1569.7031566509638,0.9244357752042386,1.0117116753073323,1.0584884881973267,0.027543570232036872,0.9536115803365628,3.938831388950348,-20.024864956082293,-2666.4340432085532,,26.771589120229084
256,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.9048129916191101,2475096.25,1573.2438622158995,0.8930729193134467,1.0831458279191524,1.0536996126174927,0.025288382337535793,0.9595460324749401,11.632518470287323,-4.022282937792075,-2486.087298513062,,22.03774650891622
64,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.9045168608427048,2482796.25,1575.6891349501652,0.919072577830058,1.0578225905450542,1.0363467931747437,0.0171165519865743,0.9565867956994254,8.452070504426956,-9.96076700004819,-2823.5265908935703,,22.508466243743896
128,336,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8996394872665405,2609620.0,1615.431830811811,0.8619072501349582,1.1197309765710957,1.0573009252548218,0.026984357557519906,0.9619118813858957,16.66686236858368,-8.513922893124173,-2837.5895710403083,,22.22345471382141
64,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.898556724190712,2637774.5,1624.1226862524888,0.9205486564231643,1.0596028785663931,1.0251476764678955,0.011842621083428595,0.9538740069913911,8.576280623674393,-3.9169596904782904,-2573.8545591039683,,17.77841647466024
64,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8977723196148872,2658171.0,1630.389830684674,0.9403185159631535,0.9833458039036492,1.0245832204818726,0.011576803551843132,0.9482295203811641,-0.2553439699113369,-19.443920467534124,-2445.480079049978,,27.017498016357422
64,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8973474055528641,2669219.75,1633.774693769003,0.9065091535668823,1.07446721108191,1.0341167449951172,0.016066352498943337,0.9549309357607549,11.369840055704117,-11.556324160609332,-2879.5973852348993,,22.463111082712807
64,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8959164470434189,2706428.25,1645.1225638231335,0.9436712901076227,0.9879996215738888,1.0162841081619263,0.007668538943896222,0.9474286932144501,-0.6714978255331516,-13.605759767624734,-1961.5481981270775,,26.45792563756307
256,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8945673331618309,2741508.5,1655.7501321153502,0.8855651132398634,1.0996933522827272,1.035813808441162,0.01686552869440885,0.9567108565183245,14.689481258392334,-6.350639330709387,-2934.941481023289,,21.69084151585897
256,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8945072889328003,2743069.75,1656.2215280571618,0.8830070177316399,1.105431219043413,1.027491569519043,0.01294639582643494,0.9573874483697079,14.909668266773224,-1.055550427471239,-2902.039804495744,,22.419369220733643
128,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8944202661514282,2745332.5,1656.9044933248265,0.8964626806460495,1.0864875066717712,1.0348269939422607,0.01640082679210905,0.9549781366262124,11.897693574428558,-4.718052370756184,-2764.645832807432,,25.139017899831135
