hidden_size,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE_1D,NSE_1H
256,90,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8135811239480972,0.7945550382137299
128,90,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7942837029695511,0.8386662602424622
256,120,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7898388057947159,0.8276411294937134
64,120,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7893667370080948,0.7386782467365265
128,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7815105468034744,0.8305015563964844
128,90,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7761800289154053,0.786669060587883
256,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7743418961763382,0.8319519311189651
64,90,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7724315971136093,0.716277152299881
64,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.764392226934433,0.7899342179298401
128,90,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7636838257312775,0.7672855257987976
128,120,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7627494782209396,0.8244933038949966
256,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7610281109809875,0.8439189493656158
128,90,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7591448724269867,0.7311802208423615
128,120,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.758312001824379,0.8197050392627716
64,90,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7564180195331573,0.7979115694761276
256,120,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7537521421909332,0.8463838994503021
256,90,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7482992708683014,0.8415220826864243
128,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7432717978954315,0.811269074678421
256,120,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7427995204925537,0.8762321695685387
256,90,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7394407093524933,0.6832095384597778
64,90,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7390261888504028,0.6658286452293396
128,120,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7388629913330078,0.7828225344419479
64,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.738608330488205,0.7669585794210434
64,120,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7355700433254242,0.66938117146492
256,120,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7326144278049469,0.834798276424408
64,90,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7324739396572113,0.7881775498390198
256,90,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7314451336860657,0.7735610008239746
128,120,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7271701097488403,0.8093687146902084
64,120,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7251919806003571,0.7663047611713409
256,90,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7238484025001526,0.8183455020189285
256,120,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7221727967262268,0.8328265398740768
64,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7217235565185547,0.7262096405029297
64,120,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7197242975234985,0.7449419498443604
128,90,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.719699501991272,0.7503831088542938
128,120,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7192825675010681,0.7741686701774597
256,90,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7181297242641449,0.799558013677597
64,90,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7173168659210205,0.751226156949997
256,120,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7147346138954163,0.8326748907566071
256,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7125641703605652,0.8019911348819733
64,120,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7111691236495972,0.7297621369361877
64,120,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7104273438453674,0.7983761131763458
128,120,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7103404998779297,0.7484166324138641
64,120,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7086172997951508,0.7559165060520172
128,120,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7079018354415894,0.7520740628242493
