hidden_size,seq_length,num_layers,epochs,output_dropout,avg NSE,avg MSE,avg RMSE,avg KGE,avg Alpha-NSE,avg Beta-KGE,avg Beta-NSE,avg Pearson-r,avg FHV,avg FMS,avg FLV,avg Peak-Timing,avg Peak-MAPE
128,90,2,32,0.4,0.7495037131011486,400824.556640625,589.9375097455032,0.7403855545841884,0.8621042817831039,1.0859998911619186,0.045427719596773386,0.8812285650771536,-19.463368132710457,11.204875824999721,-5182.850244979809,0.125,39.04263265430927
256,90,2,16,0.4,0.7319418154656887,470249.333984375,623.9254230454968,0.7111499008192068,0.8501976579427719,1.0951193422079086,0.05274684261530638,0.8808691884423118,-19.818574469536543,1.5661097288564911,-3281.2502224189893,0.125,36.02242134511471
256,90,2,32,0.4,0.7107514403760433,530767.46875,656.4787310741547,0.7044079854223653,0.7833885848522186,1.0147923529148102,0.006570170866325498,0.8542574674281349,-28.594977781176567,38.137853537546306,-7383.678760104342,0.375,46.84503674507141
128,90,1,32,0.4,0.6989696249365807,536640.884765625,665.5263385795482,0.6902169792121726,0.8293697834014893,1.0501941740512848,0.028699978487566113,0.8662711144770932,-21.992050856351852,17.783382587069976,-7657.200559824032,0.375,40.57588241994381
128,90,1,16,0.4,0.6937679871916771,564378.544921875,677.4789574745109,0.6691201141605353,0.8079574704170227,1.0691764950752258,0.03959445016516838,0.8592158733552905,-25.53672450594604,5.885111240194652,-3081.3898475111737,0.125,46.10772356390953
256,90,1,32,0.4,0.6876857466995716,605021.60546875,695.7546968436103,0.7101741404726041,0.7945803850889206,0.970762625336647,-0.014102607034146786,0.8396255528012188,-25.73305880650878,36.777495832931265,-5118.521288745084,0.625,44.70529444515705
128,180,1,32,0.4,0.648359440267086,711580.330078125,737.5620122889409,0.6332635629945145,0.7677329927682877,1.0195156037807465,0.00787246529944241,0.8101683161075354,-33.54799710214138,30.219020994948572,-4235.396692876072,0.125,52.42772549390793
256,180,1,32,0.4,0.6452617049217224,711106.578125,732.1652117803401,0.6184327093721198,0.7940646857023239,1.0328310281038284,0.01436226675286889,0.8145413831847089,-30.072935111820698,40.89926963600803,-1613.0402653847227,0.625,47.73835465312004
128,180,2,32,0.4,0.6375529430806637,674883.279296875,725.5271766381854,0.5998266339850259,0.8251866102218628,1.1310515701770782,0.07623571224394254,0.820848143958261,-28.575878031551838,36.94698970042978,-1736.4465886387652,0.125,46.724820882081985
128,90,2,16,0.4,0.6201953515410423,608656.53515625,721.5867482105725,0.6018091145114159,0.878286138176918,1.1224798411130905,0.06937793083488941,0.8366318656845005,-20.50204621627927,30.37306302740723,-5220.18529055713,0.125,39.51186649501324
128,180,2,16,0.4,0.6056847907602787,668609.67578125,736.2650624007485,0.5701659719140777,0.8283379226922989,1.1557996422052383,0.09254204342141747,0.8237020201132621,-30.62611110508442,60.12733491103381,-3041.5047267248383,0.125,47.079093009233475
256,180,2,16,0.4,0.5982169695198536,779135.509765625,773.6148781898827,0.6396120412240294,0.8303231447935104,0.9949666410684586,-0.0014795293100178242,0.78877798331458,-29.06991932541132,98.97159678388054,-3170.952820387005,0.125,48.058779910206795
128,180,1,16,0.4,0.5873760208487511,704769.64453125,751.3911273400604,0.5496267600620381,0.8263155221939087,1.1037792265415192,0.053629841189831495,0.8099481616731085,-29.951345664449036,40.896685414478526,-6080.5920424663545,0.125,48.19827601313591
256,180,2,32,0.4,0.5818975865840912,800464.052734375,778.1943539844933,0.5666103961143367,0.8097338527441025,1.0510464310646057,0.02249380829744041,0.7784355568214649,-31.020680256187916,82.97180945707221,-5149.069795263859,0.125,52.6564747095108
256,90,1,16,0.4,0.5760419815778732,508601.0625,684.333830902499,0.5942244434868853,0.9251037389039993,1.1574880629777908,0.0875940378755331,0.8523898449833717,-19.74194273352623,121.69955840874647,-4801.392198553605,0.125,40.30047282576561
256,180,1,16,0.4,0.5103695243597031,886949.62890625,837.5155403609007,0.567232193359847,0.8424524962902069,0.8795235306024551,-0.0773429794353433,0.7485532121650319,-31.663835793733597,1053.9341620452744,-2918.5781207358787,0.125,53.2150499522686
