hidden_size,seq_length,num_layers,epochs,output_dropout,avg NSE,avg MSE,avg RMSE,avg KGE,avg Alpha-NSE,avg Beta-KGE,avg Beta-NSE,avg Pearson-r,avg FHV,avg FMS,avg FLV,avg Peak-Timing,avg Peak-MAPE
128,90,2,32,0.4,0.8529451731592417,225754.552734375,445.04461275792846,0.7880080043232077,0.8776620477437973,1.0991018414497375,0.056103409093338996,0.9344585645685684,-15.558207780122757,5.0750668664832395,-6010.090519605964,0.5,25.139622401911765
256,90,1,32,0.4,0.8513143938034773,220741.1328125,444.2356039330842,0.7954969119540177,0.8737121075391769,1.0251585245132446,0.012841330841183662,0.9291551847579544,-16.083609871566296,33.130501365300226,-1941.3103983250242,0.5,28.988726250827312
256,90,2,32,0.4,0.8456387743353844,274456.7490234375,481.5400796533239,0.8166475654207952,0.8642842620611191,1.063148707151413,0.04284070711582899,0.9238178876292067,-16.556039825081825,-4.743254021315234,-1978.5527780939537,0.5,29.967994382604957
128,90,1,32,0.4,0.8425644841045141,250749.5615234375,465.62140057584395,0.8035787725777133,0.8972693085670471,1.090739756822586,0.05308344808872789,0.9282872810928317,-14.192319475114346,20.02330604874821,-3918.4243073861862,0.5,27.046271390281618
128,90,1,16,0.4,0.8163428604602814,313924.65625,518.848525795365,0.8167243944088844,0.9151546508073807,1.0646867007017136,0.03317486168816686,0.9127320109720849,-16.881126863881946,64.45410986740677,-5403.973922808523,0.5,32.97377564013004
256,90,1,16,0.4,0.8145638220012188,292521.158203125,505.6337908765473,0.7364631086183445,0.8572340309619904,1.0815999954938889,0.04375678260112181,0.9193562592953722,-19.14813034236431,30.04883176279491,-3709.6745115868234,0.5,32.72262290120125
128,90,2,16,0.4,0.8066080138087273,311568.40234375,520.8416411575093,0.7719052069900714,0.8872289657592773,1.0503355711698532,0.02820380823686719,0.9093859847748076,-17.340948339551687,14.75603674558683,-5863.7034786307695,0.5,30.779627710580826
128,180,1,32,0.4,0.7932780459523201,402367.974609375,555.0762606553019,0.7229849680344369,0.8367638289928436,1.077524185180664,0.0473346165381372,0.9078299100156614,-23.21881651878357,21.933146940802345,-2517.173787879152,0.5,36.19913421571255
256,90,2,16,0.4,0.7927142139524221,346561.224609375,541.5817869423538,0.8137111470787204,0.931917816400528,0.9676214903593063,-0.023498742375522852,0.9009710071621806,-14.866823123884387,101.58235975976697,-6522.377873381069,0.5,33.47728252410889
128,180,2,32,0.4,0.7771273590624332,413370.634765625,573.4473951801281,0.7285929942277333,0.8188404887914658,1.0543444901704788,0.03641492337919772,0.899656691830599,-23.852040246129036,27.48007034938271,-4099.356743153913,0.5,35.31210608780384
256,180,2,32,0.4,0.7759991958737373,421765.5,575.4594255750599,0.7333643326554632,0.870864748954773,1.0670326054096222,0.040310583426617086,0.8974391481088586,-19.085183227434754,44.43829421396788,-2439.414626748201,0.5,35.63947230577469
256,180,1,32,0.4,0.7715169675648212,428749.40234375,583.102991476688,0.6918041395720071,0.844993531703949,1.133324608206749,0.08021833199018147,0.899675052903705,-20.671138470061123,31.994325684298502,-275.52093534181483,0.5,35.265746526420116
128,180,1,16,0.4,0.7584976349025965,434652.857421875,588.6652552226118,0.7355988348103761,0.884061262011528,1.055123582482338,0.038068231428042054,0.8956843517554257,-20.50228677690029,64.72294033005525,-3125.1574470004675,0.5,36.666276678442955
256,180,2,16,0.4,0.730614673346281,489313.5078125,632.3156364994179,0.7021675589583212,0.8651303499937057,1.0677507519721985,0.035509860201273113,0.880824315563407,-23.691405728459358,49.750022525754005,-5679.011765793106,0.5,44.819239154458046
128,180,2,16,0.4,0.7293811123818159,468976.427734375,612.9336202906956,0.6935788065576419,0.88162000477314,1.0393427014350891,0.022470107185654342,0.8919222177899714,-22.623107209801674,46.728947261634836,-446.0705331116848,0.5,42.94496029615402
256,180,1,16,0.4,0.7223534397780895,476348.130859375,628.6498967927653,0.6102015226176636,0.8458322584629059,1.1064158231019974,0.05482458509504795,0.8885465288808378,-23.184603732079268,35.33766907391137,-4486.073437508983,0.5,41.86200387775898
