hidden_size,seq_length,num_layers,epochs,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
128,336,1,16,0.4,0.842012882232666,341715.375,584.5642607960223,0.793302707220799,0.8080340027809143,0.9838573336601257,-0.008283973671495914,0.9250851077730723,-21.965429186820984,-6.725610210479811,-2.561555444143733,,37.03725678580148
256,168,1,16,0.4,0.829529270529747,368716.59375,607.2203831806044,0.8412158363887118,0.8723430037498474,0.9662729501724243,-0.017307786270976067,0.9118036960408595,-16.416341066360474,-5.846127427422402,-2.512409210635467,,40.67286423274449
128,168,1,16,0.4,0.8161592036485672,397635.15625,630.5831874146345,0.8024285167975451,0.8492012619972229,0.9133012890815735,-0.04449140280485153,0.9063113394445688,-18.155157566070557,-6.514605822859753,-2.066200232491949,,45.997296060834614
64,168,1,32,0.4,0.8156686723232269,398696.125,631.4238869412528,0.8399792301057805,0.8794897794723511,1.042623519897461,0.0218732301145792,0.9037338631840515,-14.094561338424683,-9.119307216226948,81.5931464035983,,37.5363758632115
128,168,1,32,0.4,0.8152677714824677,399563.25,632.1101565391906,0.7346703260753333,0.7551195621490479,0.9390486478805542,-0.03127856180071831,0.9180345213049587,-27.07251012325287,-12.23502412163164,-3.159074668550657,,44.17647634233747
256,336,1,16,0.4,0.8121150434017181,406382.40625,637.4812987453043,0.7642556506753445,0.7848185896873474,0.965770423412323,-0.01756567321717739,0.9099961390773073,-23.95690083503723,-24.50331408157211,-1.7443926579162292,,40.293778691973
256,168,1,32,0.4,0.8063064813613892,418945.90625,647.260307951909,0.7808285762203921,0.8044771552085876,0.9779543876647949,-0.01131321582943201,0.9034550822517332,-21.793125569820404,-14.662949200680012,94.33654717782046,,38.33927427019392
64,336,1,16,0.4,0.8027997612953186,426530.6875,653.0931690807981,0.7755795517171756,0.798653244972229,0.9854507446289062,-0.007466279901564121,0.9019574530349332,-23.897579312324524,-15.496244704102022,-3.421518541801071,,46.383639744349885
64,90,1,32,0.4,0.8027899861335754,426551.875,653.1093897656043,0.8713707264943413,0.924015462398529,0.9934939742088318,-0.003338714363053441,0.8964166438249423,-12.092798948287964,0.42678558466669103,91.57185823467533,,34.17693206242153
64,336,1,32,0.4,0.8013153821229935,429741.3125,655.5465753857616,0.7927365333952479,0.8442235589027405,0.9089720845222473,-0.04671303182840347,0.8979913553081587,-16.14726185798645,-4.324490249076984,-1.893964441492602,,40.85321085793631
256,336,1,32,0.4,0.8012673407793045,429845.25,655.6258460433054,0.8070938679724674,0.8605128526687622,0.9155532121658325,-0.04333576560020447,0.8969230795584748,-15.837490558624268,1.6156612833174822,-1.7216113309254184,,38.581269127982004
64,168,1,16,0.4,0.7983914911746979,436065.5,660.3525573509957,0.8944780323441068,0.991143524646759,1.0272136926651,0.013965337537229061,0.898432960888789,-2.5016266852617264,-3.6025734460257577,-2.4888173120850583,,34.47680813925607
128,90,1,16,0.4,0.7981257736682892,436640.21875,660.7875746032154,0.8110068873985387,0.8444085121154785,1.021386981010437,0.010975231416523457,0.8948701633601162,-16.443943977355957,-28.238916515297745,88.49817088067918,,38.45316001347133
64,90,1,16,0.4,0.7929602116346359,447812.96875,669.1882909540483,0.8566331293228817,0.9096407890319824,1.021303415298462,0.0109323188662529,0.8907505739254978,-10.191290080547333,-23.4651312558389,-3.814208466180596,,39.32245118277414
128,336,1,32,0.4,0.7805376052856445,474682.25,688.9718789616888,0.7872706407094963,0.8297013640403748,0.9434793591499329,-0.029004845768213272,0.8857302662454445,-19.415123760700226,-4.504771848010994,94.9126715792201,,42.90948595319475
256,90,1,32,0.4,0.7759181410074234,484673.8125,696.1851854930554,0.8531116075119948,0.9416458606719971,0.9322445392608643,-0.03477024659514427,0.883465919958899,-7.526160031557083,-2.40562184654586,-1.7340365397008375,,45.16111101422991
128,90,1,32,0.4,0.7724923342466354,492083.625,701.4867247496562,0.8187843699897498,0.8774018883705139,0.9428501129150391,-0.029327765107154846,0.8794068907811389,-13.752292096614838,-8.860259810057569,-2.3934471688491823,,43.0279016494751
256,90,1,16,0.4,0.7640337496995926,510378.96875,714.408124778827,0.8188531716489179,0.8730602264404297,0.9703220129013062,-0.015229914337396622,0.8742236731651335,-14.394666254520416,-19.718772409519605,-3.3528652637861605,,43.31606796809605
