hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,90,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8549641817808151,278800.0,528.0151512977634,0.8038059262932455,0.8191311999259019,0.9667551517486572,-0.01809191614167315,0.9316379360891398,-17.01659858226776,-2.646928111938409,-1.9128139592143305,0.2,36.281447410583496
256,90,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8496507108211517,289014.03125,537.6002522785866,0.8244475626656358,0.8414369605415358,0.9879695177078247,-0.006547018564493951,0.9256246797146591,-15.035685896873474,6.7555860507132985,-1.1077913734555536,0.4,39.17486906051636
64,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8474632948637009,293218.84375,541.4968547923431,0.7808047631011887,0.7972294746273041,0.9541541337966919,-0.024949422948818613,0.930510270749734,-20.577004551887512,12.331478622144404,-1.0255875475855627,0.2,41.765499114990234
256,90,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8472792208194733,293572.6875,541.8234837103316,0.8051789041824683,0.8194946468181933,0.9996498823165894,-0.00019052787667598939,0.9266995616257117,-19.063498079776764,5.030780874146059,-1.0824315530608872,0.4,39.97320890426636
64,90,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8413332104682922,305002.59375,552.2703991252836,0.7748339929563894,0.7910141629830397,0.9576921463012695,-0.023024026058296954,0.9276487998047673,-21.64226770401001,11.046208404084961,-0.4349017561762917,0.4,40.269927978515625
256,90,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8391570448875427,309185.8125,556.0447936092919,0.7908182347403705,0.8089745849547426,0.962604284286499,-0.020350824860683094,0.923398027635074,-17.621082067489624,-6.563563472396518,-1.9791838669978534,0.4,40.29836177825928
128,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8390099257230759,309468.625,556.2990427818477,0.7482919658461662,0.7636326481666799,0.9468488097190857,-0.02892497551047648,0.9317185206910903,-22.181232273578644,-3.3252085376650515,-1.909899496228168,0.4,44.35077667236328
128,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.838841512799263,309792.34375,556.5899242260858,0.7677005352176499,0.7849914922787785,0.9505759477615356,-0.02689665482705545,0.927256299200623,-21.3362917304039,5.308127942668722,-1.41756285714922,0.8,43.33941459655762
256,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8382271081209183,310973.4375,557.6499237873165,0.8000135649879423,0.8196091924593927,0.9642981886863708,-0.019429000984159246,0.9213926758335742,-16.492468118667603,8.382018308464916,-1.7481507929111784,0.8,44.36735153198242
128,90,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.838090717792511,311235.59375,557.884928771158,0.7877418938942977,0.8135378332542988,0.9344172477722168,-0.03569025590781691,0.9226419584638603,-16.378173232078552,-5.049130226878507,-2.0650686995435183,0.4,41.16322040557861
