hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,90,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8966004699468613,198763.25,445.82872271759254,0.8381612777385216,0.8452886347656322,0.9931030869483948,-0.0037533287350727485,0.9530042759295634,-14.861656725406647,2.3840906241875155,95.80401169073295,0.0,26.290218830108643
256,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8924842029809952,206675.875,454.616184269764,0.870817160992766,0.882362242798372,0.994315505027771,-0.0030935247111310367,0.946922222244611,-11.286558955907822,4.664133622325485,98.53218060585426,0.0,26.250910758972168
128,90,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8902155160903931,211036.9375,459.3875678552914,0.8854848787952353,0.899846080945469,0.9967108964920044,-0.0017899407268127838,0.9445735867958777,-8.900175243616104,-2.4208233099352485,94.32185155808219,0.0,22.702276706695557
256,90,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8893215581774712,212755.375,461.2541327728132,0.851557089517457,0.8709439529322187,1.0501216650009155,0.02727630187152258,0.946449527683662,-12.22607046365738,-15.917315929175887,96.89502693615034,0.0,27.72276163101196
128,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8887743577361107,213807.25,462.39296058655566,0.8520242460726144,0.8621470942121611,0.9942148327827454,-0.003148288269029588,0.9465216683459946,-12.065214663743973,-4.4180484140136596,96.08163624844774,0.0,27.951946258544925
128,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.887686125934124,215899.140625,464.6494814642539,0.8704256006107113,0.883593454363731,0.9891439080238342,-0.005907904952298476,0.9441324210553994,-10.87367832660675,-9.86583531914601,96.55298076919621,0.0,22.99004554748535
128,90,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8869490996003151,217315.921875,466.1715584149252,0.8907387928621635,0.9127261704125703,0.9683122634887695,-0.0172445337252831,0.9424050574342129,-8.392485976219177,2.6323165903181267,95.35702090178665,0.0,26.001396179199222
128,90,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8864755854010582,218226.15625,467.1468251524353,0.8540127496563775,0.8648520794039893,0.9961808919906616,-0.002078373870985862,0.9449297608913951,-12.724398076534271,3.383688604429019,94.0409053110462,0.0,26.215794086456302
64,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8850875198841095,220894.40625,469.99404916445485,0.8287025775731203,0.8423127372463862,0.9593635201454163,-0.022114440340210238,0.9468378837855975,-16.255973279476166,5.989364653002259,-1.6091668402066557,0.0,27.38327026367188
256,120,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8848529011011124,221345.40625,470.47359782457505,0.8697938413140132,0.8849561160769077,0.9797274470329285,-0.011032347653856984,0.9424885043852297,-10.738518834114075,7.2726640146571055,98.15456202080874,0.0,25.521919727325436
