hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8518150001764297,320514.09375,566.1396415638106,0.7971213717281338,0.8093671554511674,0.9932075142860413,-0.0034857467896359635,0.9309151353296514,-22.13933914899826,-6.769701192453187,-3.021490811724131,,35.77788897923061
128,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8508017063140869,322705.75,568.0719584700515,0.83254290293842,0.8501485377758901,0.9944568872451782,-0.0028445911639964783,0.9254634819261397,-17.455625534057617,-10.995837279092289,-3.3854801036447273,,38.78723553248814
256,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8487348258495331,327176.28125,571.9932528011147,0.8077822202866318,0.8223783524545648,0.9898546934127808,-0.005206354666093172,0.9272312023224689,-19.326461851596832,-3.157608493109717,97.71201245653805,,38.88425145830427
256,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8486743271350861,327307.15625,572.1076439359991,0.8481729042083099,0.880828637515452,0.9465466141700745,-0.0274310771190403,0.9225894779540105,-12.508319318294525,-1.1656789622267623,-2.1622316314738126,,41.34279319218227
256,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.848115399479866,328516.0625,573.163207559592,0.8685992037448591,0.8974588338959821,1.0236884355545044,0.012156393013947138,0.921321308275408,-14.625194668769836,-10.3223758810157,-3.173643625792908,,32.54054273877825
256,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8461681604385376,332727.8125,576.8256343991658,0.7897290182877359,0.8040534618173512,0.9738832116127014,-0.013402556621238642,0.9283288531638559,-21.177345514297485,-14.09117542197928,-3.5229786371491905,,36.35482106889997
256,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8447946459054947,335698.625,579.3950508936023,0.8164274365591674,0.8331327015763987,1.0035110712051392,0.0018018261792196186,0.9235679180969159,-20.3669011592865,-10.03061248510458,-3.2524397137180534,,38.89177867344448
256,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8374242186546326,351640.375,592.9927276113932,0.8556730454581971,0.8873577258277606,1.032170295715332,0.016509062211227846,0.9156966195801984,-13.94069492816925,1.5825672726858677,97.9276138259759,,43.89098031180246
128,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8344104588031769,358158.90625,598.463788587079,0.8928366515857087,0.9364131604040447,1.0004751682281494,0.00024386243568937536,0.9137418334955119,-9.1377854347229,-7.0857953874579565,94.23125819839477,,35.7752936226981
128,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8335613757371902,359995.4375,599.9961979046201,0.837843535065433,0.869299041640628,0.9566285014152527,-0.022257301077202873,0.9143793733115061,-15.185058116912842,-8.045796620058328,-2.465737353467027,,41.586133411952424
