hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
128,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8625632077455521,297266.4375,545.2214572996921,0.8528826631515569,0.8739170720042378,0.9694925546646118,-0.01565575126432038,0.9306033008817998,-15.180739760398865,6.419344558611742,-2.064536427711721,,36.13100051879883
256,168,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8488787412643433,326865.0,571.7210858451873,0.9149062332085373,0.9652114215934957,1.0001341104507446,6.88508816896994e-05,0.9223425085802963,-5.643193423748016,-0.6269991941576438,-1.9806529367085717,,33.42575345720564
128,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8487067222595215,327237.09375,572.0464087379625,0.8537892724989252,0.8763561111730405,0.9916261434555054,-0.004297265794345297,0.9224136344535185,-15.371149778366089,-5.6078711701960415,-3.150478343852814,,36.946054867335725
256,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8426499664783478,340337.4375,583.3844679968777,0.9017363821217608,0.9664627756639254,0.9547953009605408,-0.023198055541698688,0.9194548054375412,-7.299923151731491,14.653395581826857,-1.2189076481609613,,38.37323529379709
128,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8414717763662338,342885.78125,585.5644979419432,0.9115407499393734,0.990130875607249,1.0368175506591797,0.018893943579296295,0.9201745199296139,-4.584519192576408,-6.377281143229503,-2.9766320751495283,,36.93747179848807
64,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8398656249046326,346359.78125,588.5233905716917,0.8494138260825569,0.8832089936591622,0.9529590010643005,-0.024140387060617073,0.9173973303571833,-14.982618391513824,0.42950046196668856,94.16399142436337,,39.59989207131522
64,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8397028595209122,346711.8125,588.822394699794,0.8894441819717678,0.9322321453991056,1.0259171724319458,0.013300088472753106,0.9165829336657275,-9.86073687672615,-7.974178844195104,-3.197480828894248,,38.45242772783552
64,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8389771282672882,348281.53125,590.1538199910258,0.8953612370312479,0.9373390574326748,1.0007400512695312,0.00037977963733721475,0.9162006604063999,-9.946207702159882,-4.731378188722175,-2.8146030865519633,,39.383513586861746
256,336,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8388711214065552,348510.8125,590.3480435302552,0.8933542060556944,0.9485953300762456,0.9576460123062134,-0.021735130057603157,0.9167111952152288,-8.734766393899918,-2.3716343319927278,-2.0749565384186606,,39.331153460911345
256,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8361441642045975,354409.03125,595.3226278666048,0.8274007957188992,0.8585226137568781,0.9468066692352295,-0.027297650014604356,0.9166627090527094,-18.044760823249817,5.964585428094444,-2.0093002420912107,,37.7279417855399
