hidden_size,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE_1D,NSE_1H
256,120,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8631874024868011,0.783407524228096
128,90,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8613272607326508,0.842292308807373
256,90,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8600045740604401,0.8614721745252609
128,120,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8597935885190964,0.8363485485315323
128,120,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.858701229095459,0.8472238332033157
256,90,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8581169694662094,0.850887343287468
128,90,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8539054840803146,0.8627079427242279
256,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8534173220396042,0.8674083054065704
128,120,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8531344681978226,0.8582935482263565
128,120,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8530949056148529,0.8106636255979538
128,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8527733981609344,0.820599153637886
256,90,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8511044830083847,0.842187911272049
256,90,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8508261740207672,0.8690508157014847
128,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8491402417421341,0.8582328855991364
256,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8481565117835999,0.8797930777072906
64,120,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.846575066447258,0.8082682192325592
256,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8456094264984131,0.8393203765153885
256,120,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8444293886423111,0.8542420268058777
128,90,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8437025845050812,0.8147040903568268
256,120,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8419267386198044,0.8354599624872208
