hidden_size,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE_1D,NSE_1H
128,120,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8929806426167488,0.8617824912071228
64,90,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8905960917472839,0.8554169237613678
128,120,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8904688060283661,0.8535643070936203
256,120,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8897644355893135,0.8500717431306839
128,120,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8895748108625412,0.8613636344671249
64,90,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8893133774399757,0.8585698455572128
256,120,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8885839805006981,0.8601941764354706
128,120,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8882360383868217,0.8545577228069305
256,120,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8865779489278793,0.8499964028596878
256,90,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8865542188286781,0.8528352677822113
256,90,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8852293193340302,0.8639901876449585
128,90,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8843643218278885,0.871808186173439
128,120,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8841645494103432,0.8493718206882477
256,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8839078471064568,0.8600939363241196
256,90,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8833656087517738,0.8438004553318024
