hidden_size,seq_length,num_layers,epochs,output_dropout,avg NSE,avg MSE,avg RMSE,avg KGE,avg Alpha-NSE,avg Beta-KGE,avg Beta-NSE,avg Pearson-r,avg FHV,avg FMS,avg FLV,avg Peak-Timing,avg Peak-MAPE
128,90,2,32,0.4,0.8900031317025423,73636.224609375,252.2859211477004,0.7877156039827031,1.0530930012464523,1.1061424165964127,0.05003892257809639,0.9633536738180836,7.919657917227596,168.60218141357745,-2681.4991678317947,0.25,15.654719760641456
64,90,1,32,0.4,0.8819040954113007,81095.35009765625,262.71283448139934,0.7310992738005935,1.0270590335130692,1.1476659625768661,0.07342049712315202,0.9628916958157672,5.371849378570914,168.95629402818145,-2761.198844077008,0.0,16.920774336904287
128,90,1,32,0.4,0.8814218938350677,76111.62915039062,258.28647410554277,0.766545170021671,1.0446433126926422,1.125016450881958,0.05917058832710609,0.9630201832611726,7.565129827708006,123.79347380868894,-3032.431299122721,0.0,18.27837824821472
128,90,1,16,0.4,0.8800779543817043,77285.10791015625,260.7979327238095,0.7910906325035106,1.0088990777730942,1.0522655546665192,0.028299740166403353,0.9561567226008704,3.337608277797699,102.09320978957551,-1465.6430150476722,0.0,19.546554051339626
64,90,2,32,0.4,0.8780954536050558,82793.68310546875,266.55172756727427,0.7414367828743502,1.051904022693634,1.1466775983572006,0.06898084795102477,0.9620888617153495,8.295413572341204,98.30579941496889,-2927.0150911099663,0.25,20.680241286754608
256,90,2,32,0.4,0.8751555681228638,79302.89892578125,261.945286253133,0.7397395417546003,1.0783754289150238,1.1149703413248062,0.05743225198239088,0.965628104826868,10.157561860978603,114.43964603784313,-1062.852663346441,0.0,18.23811512440443
128,90,2,16,0.4,0.8699622265994549,80871.72900390625,266.9347638408869,0.7422097028765942,1.0862108618021011,1.0222032517194748,0.01583470427431166,0.9627304350012296,9.32216364890337,2029.4773402747005,-447.0713384657036,0.0,17.390571534633636
256,90,1,32,0.4,0.8699547285214067,75424.61547851562,256.32945522955,0.7357911561148474,1.0946976393461227,1.1637260913848877,0.07411120040342212,0.9679469163423984,12.44049109518528,52.127938405658135,-202.91362323290878,0.0,18.26157495379448
256,90,2,16,0.4,0.8624972850084305,84329.15673828125,273.3878363132127,0.7445358942499445,1.1111629903316498,1.0224894881248474,0.02102445822674781,0.9608813093774473,11.584270116873085,760.9337421975653,-751.0845595008561,0.0,15.692373923957348
64,90,2,16,0.4,0.8503096625208855,95532.91357421875,290.11688698236276,0.7205779616006913,1.0796902477741241,1.1598375737667084,0.07652696408331394,0.9547445968189576,10.457383468747139,165.1545700651224,-2749.486363175859,0.0,16.915128007531166
64,90,1,16,0.4,0.8407205305993557,101025.10595703125,297.6326558615391,0.6712672060013308,1.0707987546920776,1.2412973046302795,0.11389764677733183,0.9530413865226933,9.388072602450848,203.38718687115218,-3367.6396106840007,0.0,18.378376122564077
128,180,1,16,0.4,0.8172344397753477,186249.25048828125,348.66525564376474,0.6863164849647264,0.8979499712586403,1.1245023757219315,0.06237934157252312,0.937889219253566,-11.289795814082026,140.0053674498976,-2602.0894213517454,0.0,27.997639402747154
128,180,1,32,0.4,0.8080290406942368,203719.63452148438,358.14840428472235,0.6773108862233606,0.9223715290427208,1.0776244848966599,0.04329954972490668,0.9410769465624358,-8.084379136562347,108.0265232016143,-3219.525568819669,0.0,26.220477558672428
64,180,1,32,0.4,0.8007973600178957,201218.716796875,363.1861682407594,0.6900253984896886,0.9158562645316124,1.0536038726568222,0.034010508097708225,0.9345313605961431,-8.37126225233078,104.77743804096556,-3851.5757573964606,0.0,28.19898808375001
64,180,2,32,0.4,0.8007795214653015,219951.67041015625,362.8223348670944,0.6687108888447213,0.8547347486019135,1.029720276594162,0.027280868031084538,0.9352196480092726,-16.48469641804695,164.2887300145724,-3147.480117082934,0.25,29.363155085593462
256,90,1,16,0.4,0.79645124822855,124792.5546875,327.46182017657236,0.6068728678620203,1.1514088958501816,1.0838263928890228,0.04487692430848256,0.9575322893268483,17.261606754618697,1979.2945299872456,-1530.8062636186821,0.0,16.940381936728954
128,180,2,16,0.4,0.7870333325117826,220223.330078125,377.10081323758845,0.645660512022983,0.9329490587115288,1.050161749124527,0.03742443025112152,0.9314881113999169,-10.336954053491354,762.4332385749594,-837.4410128604206,0.0,24.932868964970112
256,180,2,32,0.4,0.7775956019759178,213699.34423828125,384.2562122092009,0.6538031616212746,0.9604752734303474,1.0864850878715515,0.04767526360228658,0.9359210244456301,-3.9223384112119675,127.36019296738534,-2124.3535468565165,0.0,26.590194925665855
128,180,2,32,0.4,0.7752739153802395,211028.615234375,383.45193362517466,0.620707017015055,0.9790290892124176,1.0563683062791824,0.03675128147006035,0.946027093749915,-4.042117670178413,165.47740081669264,-3158.806802033389,0.0,24.522645119577646
64,180,2,16,0.4,0.763927198946476,240803.36962890625,391.06053615971257,0.6654336933359555,0.925398625433445,1.0715170502662659,0.042394090443849564,0.9182933319268509,-10.953917820006609,338.8576179287004,-2917.2002785717477,0.0,29.086223663762212
256,180,1,32,0.4,0.7625188510864973,225745.48095703125,394.4651103991088,0.6593923040445941,0.9543001726269722,1.0617201626300812,0.03572984924539924,0.9353082574492736,-5.699226446449757,128.34123499371591,-1951.5760745652697,0.0,23.96777430549264
256,180,2,16,0.4,0.7400516904890537,264471.82958984375,416.17280016007123,0.6191926181670795,0.9420764893293381,1.1200157552957535,0.06541071739047766,0.8979751659486425,-9.367315471172333,265.001607910521,-1766.340551213361,0.0,25.233071483671665
256,180,1,16,0.4,0.6786542758345604,277242.6513671875,448.0975498169373,0.5371623976199519,1.009471356868744,1.2192107439041138,0.1075899014249444,0.9115295299164599,-3.5867836326360703,75.5995151065508,-1603.0954231113224,0.0,24.05560566112399
64,180,1,16,0.4,0.67789351567626,258569.0556640625,434.27926455894993,0.5493346455553029,1.0141210332512856,1.1936597377061844,0.1016207430511713,0.9161067369754926,-5.35525418817997,234.76412383316932,-963.196112776955,0.25,24.911218928173184
