hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
128,120,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8726206123828888,62453.30078125,249.90658410944278,0.8998945622035471,1.0107297313906138,1.0776087045669556,0.03608093802123126,0.937687396811369,1.0087535716593266,-4.390803849590239,45.73814443480024,0.2,33.708927631378174
64,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8719929456710815,62761.04296875,250.52154192553982,0.8433379462371489,1.0826576512771924,1.1214146614074707,0.05644671679058178,0.9455097093984466,9.434153884649277,-5.588481126530112,-2803.391667348576,0.2,22.925128936767578
64,120,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8693570494651794,64053.40234375,253.08773645467298,0.9081084783804567,1.056600915166051,1.0402933359146118,0.01873274911122375,0.9398598700633866,6.420383602380753,10.164368564121624,-2753.2414678145565,0.2,26.350862979888916
256,120,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8680197447538376,64709.07421875,254.3797834316831,0.9223465960805091,1.0448768701129292,1.0122549533843994,0.005697407697802564,0.9378233662321842,5.533092841506004,-4.97876050839635,-69.5239871764646,0.2,31.560592651367188
64,90,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8624632954597473,67433.3671875,259.67935456539476,0.9058904786373749,1.0129208475942133,1.064432144165039,0.0299550610670022,0.9326341888874994,1.5442091971635818,-7.975112109935551,-189.65912462692432,0.2,26.294536590576172
128,120,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8618130683898926,67752.1640625,260.29245871231075,0.9116776450044131,1.0607004650793852,1.0098824501037598,0.004594440403286718,0.9366073418205269,7.799253612756729,1.8505660788640184,-2761.386800305423,0.2,22.735483646392822
64,90,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8609264492988586,68186.875,261.1261668236257,0.9105392035528781,1.04421239627675,1.0419716835021973,0.019512980687721268,0.9345257615514897,2.5607455521821976,-1.5966831979468232,-2776.023865661325,0.2,32.223782539367676
128,90,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.860251247882843,68517.921875,261.7592823091475,0.8729632347240578,1.0769134349148182,1.080259084701538,0.03731313035341413,0.9385090040392076,5.243561789393425,-4.245920632743764,-331.0137618725454,0.4,31.960325241088867
64,120,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8600049316883087,68638.6875,261.9898614450567,0.8767571642795703,1.0676116728780398,1.0817325115203857,0.03799817559525236,0.9372524517800435,9.340786933898926,10.686883455417727,-2742.515861235874,0.2,19.66620922088623
256,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8574067056179047,69912.5859375,264.40988245052415,0.8723136151925421,1.0951141604055357,1.059852123260498,0.027825789830839415,0.9393796016446743,8.029308170080185,16.424654550889585,-23.974539603282004,0.4,27.53357648849487
64,90,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8572586923837662,69985.15625,264.54707756843584,0.8864849129253072,1.086713704870934,1.0389139652252197,0.018091461689897392,0.9379346176070587,9.6692755818367,0.9953563933278582,-166.66349380776734,0.2,25.392947196960446
64,120,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8563166111707687,70447.046875,265.4186257122887,0.8653951929888792,1.0776511290084276,1.0900720357894897,0.041875275393155734,0.9369461769362516,10.391190648078918,3.429952025389279,-2711.746116603579,0.2,20.547096729278564
128,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8553792983293533,70906.609375,266.28294983907625,0.8857435226005643,1.0924975822060827,1.025072693824768,0.011656534232431605,0.937789872704469,7.591569423675537,7.8743563698525785,-50.39075782855503,0.4,28.94552230834961
64,120,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.853346437215805,71903.3046875,268.14791568740566,0.9183734376384521,1.0336353814230619,1.0241855382919312,0.011244060115574689,0.9296678129373305,4.647061973810196,18.684119259545852,-2669.3532061210267,0.2,23.009161949157715
128,120,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8501006960868835,73494.671875,271.09900751386016,0.8947494565750341,1.0613423626695233,1.0511046648025513,0.023759014699402514,0.9314208146097507,6.697080284357071,11.93741177959541,-19.14476654042094,0.2,30.748374462127686
64,120,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8483315408229828,74362.0703125,272.69409658534966,0.8616086269638846,1.053875901252023,1.1069209575653076,0.04970849185010593,0.9305920161046208,6.713850051164627,16.17095153740485,-2659.152627566132,0.2,16.62369966506958
256,120,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.843137338757515,76908.7578125,277.32428276748504,0.8585110889691661,1.0947681075222047,1.081015706062317,0.037664892673485155,0.933107749981217,11.932830512523651,-4.646095692061704,-2799.0943129738716,0.2,23.524174690246582
128,120,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8415343910455704,77694.671875,278.73763986049676,0.8669230358324244,1.0875471083010415,1.0728774070739746,0.03388136662123815,0.9311969058954604,10.548367351293564,7.238255194958025,-20.57411804626143,0.2,24.15050506591797
128,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8403986543416977,78251.515625,279.73472366690555,0.8585227014097035,1.1189937270287786,1.0406650304794312,0.018905514051969823,0.9351719640871686,12.403318285942078,7.345006516122996,-184.40654739144097,0.2,28.003852367401123
64,90,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8401354402303696,78380.5703125,279.9653019795489,0.8510890422767796,1.0891953485959798,1.097396969795227,0.0452807146994461,0.9312068797509809,9.94492918252945,-1.8724499498133103,-2776.014319697256,0.2,32.67038822174072
64,120,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8379901349544525,79432.3984375,281.83753908501967,0.9066435691641817,1.0308674813582532,1.0410845279693604,0.01910055015435092,0.9220597450957744,5.715654045343399,-1.4402884654229118,-2717.571063878405,0.2,26.631145477294922
