hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,90,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8811685740947723,58262.2890625,241.37582534814874,0.81051465508835,1.1456051937569272,1.113978385925293,0.052989543885738045,0.9586146036727974,18.55357438325882,-0.6897316476730223,-546.991556904414,0.0,12.919644117355347
64,90,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8768450543284416,60382.08203125,245.72765825451964,0.7962573387673259,1.1728304903098654,1.1006603240966797,0.04679785586679492,0.9611645422561399,20.461829006671906,-6.305282822788354,-2781.6111184308356,0.0,19.32625651359558
64,120,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8697876334190369,63842.29296875,252.67032466981556,0.848691415600631,1.1020461139437956,1.098124384880066,0.04561887897170865,0.9465913543158081,12.958762049674988,24.527232714628404,-2648.970902290274,0.0,15.02392292022705
64,120,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8667989075183868,65307.640625,255.5535963843984,0.7922144591287005,1.1849147964629385,1.0853875875473022,0.03969740856947229,0.9588866331091661,20.232057571411133,9.407156651370716,-95.59374656831302,0.0,17.960166931152344
128,120,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8608508259057999,68223.9453125,261.19713879079916,0.7448945766645516,1.1915091523142614,1.1635748147964478,0.07604734386978648,0.9594253581736175,23.950812220573425,-1.3240341482429754,29.62324451648581,0.0,20.944528579711914
128,90,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8585437387228012,69355.1015625,263.35356759022653,0.7666630007114543,1.2073895801471988,1.0992207527160645,0.046128587847093436,0.9601131661596335,25.93138813972473,19.849660221886214,-2691.482898674586,0.0,19.9296236038208
64,120,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.851917177438736,72604.0546875,269.4513957794615,0.8300556286000843,1.1168154243702295,1.1083893775939941,0.05039114000018305,0.9409492690603898,15.187761187553406,23.864001535337813,-2472.4602990784,0.0,20.215117931365967
64,120,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8482275456190109,74413.0625,272.78757761305775,0.8285568901599406,1.0527296555553474,1.1480475664138794,0.06882861098992481,0.9314854656618534,6.541052460670471,6.153744510940861,-2691.963776614555,0.0,17.33190894126892
256,90,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8471975922584534,74918.046875,273.7116126053113,0.7715339124516222,1.21956096610643,1.0465539693832397,0.021643341511048197,0.957309681932099,22.763940691947937,13.303684796561061,-2739.1852743722447,0.0,21.51524066925049
64,90,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8452483117580414,75873.765625,275.4519297899363,0.8593075357148681,1.0949169015453397,1.0802490711212158,0.03730851050383818,0.9340815815432633,11.442343890666962,40.972916766163095,-2229.829575743488,0.0,18.250545263290405
128,120,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8445436060428619,76219.28125,276.0783969273945,0.763575068399896,1.1929838431656952,1.127842664718628,0.05943519288089897,0.951935068534817,23.700159788131714,16.481162902587414,-72.1579722277368,0.0,15.667853355407715
64,120,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8440685719251633,76452.1796875,276.49987285259283,0.7650904584167861,1.2093751566281548,1.0962960720062256,0.04476887023321959,0.9544851339676457,23.590020835399628,7.060396282160562,-119.63891139013583,0.0,21.596519947052002
64,120,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8427949398756027,77076.6328125,277.6267869145555,0.7369691128886331,1.2224040041020778,1.1338531970977783,0.06222950453856637,0.9575143770122306,26.398098468780518,12.613083789631146,-204.9607382377086,0.0,19.81057643890381
256,120,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8420046120882034,77464.1328125,278.32379131597787,0.7386637921981781,1.2347026538420804,1.1075074672698975,0.04998115014206037,0.9593377045786456,25.41123330593109,6.5222029463350335,-103.45080585986824,0.0,19.35883402824402
256,120,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8406619131565094,78122.4453125,279.5039271861846,0.805223401605722,1.1461450188215287,1.1144708395004272,0.053218487940667185,0.9410425266843272,18.157649040222168,7.428375071068174,-2728.9321930149717,0.0,12.193974256515503
64,120,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8406472057104111,78129.65625,279.51682641658624,0.7462152075599764,1.2075243402876596,1.1385072469711304,0.064393206729116,0.9535660512289147,25.518476963043213,-0.5453280773131062,3.723477862907587,0.0,13.247436285018921
128,90,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8375304043292999,79657.8046875,282.23714264338065,0.7286050899453066,1.2366712327632758,1.126123309135437,0.05863582815379915,0.9583486413350845,27.207866311073303,-7.117114479196261,-7.651492921559602,0.0,23.540160655975342
