hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
128,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5896977484226227,260372.5,510.26708692605285,0.6167655104703372,0.693442788371254,0.96966952085495,-0.012394677440647347,0.7720276069382499,-29.470637440681458,-9.710714650064107,-2808.2050039576425,,69.37044043289987
256,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5867573022842407,262238.46875,512.0922463287254,0.72558111467311,0.8516659642034125,1.0238906145095825,0.00976298779981843,0.7703655579258547,-11.785794049501419,-4.0817514684573,-2799.5287292226494,,65.45527608771073
256,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5781493484973907,267700.96875,517.398268986281,0.6798361781481992,0.7887729643614763,1.0272772312164307,0.011146946399512523,0.7609519611139242,-19.64300125837326,-8.72616182024207,-2808.2384330214604,,67.75940342953331
256,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5771989226341248,268304.09375,517.9807851165909,0.6787083817203055,0.8305365948366384,1.1383252143859863,0.056527158051780414,0.7646776819927734,-14.032025635242462,-20.88519962903461,-2874.4633186775836,,65.5362279791581
64,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5739043056964874,270394.8125,519.9950119953076,0.6747190824557636,0.788446263399892,1.0520529747009277,0.021271649780859814,0.7584566712290796,-20.359480381011963,-0.9123356376944055,-2805.019373361784,,65.32969725759405
64,168,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.5713528990745544,272013.90625,521.5495242544087,0.6797372772331105,0.8054691916932449,1.07864248752594,0.03213755979972251,0.7580468322808844,-21.23633474111557,-5.034080999486266,-2815.755515172052,,67.54364716379267
64,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5670637786388397,274735.71875,524.1523812308783,0.7383554130052007,0.9275816444014803,1.102466344833374,0.041873271440459325,0.7704044428727473,-3.9484400302171707,-12.01777950087764,-2820.396105974095,,65.2101667303788
128,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5553584098815918,282163.78125,531.1909084782984,0.7136706011264015,0.8894180072145441,1.1057058572769165,0.043197122886222176,0.7579619466524616,-8.717897534370422,-4.44484174911609,-2813.496983946086,,65.35499472367135
128,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5500276982784271,285546.59375,534.3655993325169,0.6271194203204279,0.7463078922110553,0.908221960067749,-0.03750544661224358,0.742595585636201,-22.59638160467148,-3.5696014496495003,-2781.455067090298,,69.52294801410875
64,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5481446385383606,286741.5625,535.4825510695937,0.6842227183972363,0.9181447063066387,1.18925142288208,0.07733833110207712,0.7608370818711379,-5.020903795957565,-13.836036952200462,-531.4277969940144,,64.14101751227128
