hidden_size,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE_1D,NSE_1H
64,120,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8747679591178894,0.7539497464895248
64,120,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8688690215349197,0.8359404951334
256,120,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8628455847501755,0.8113698810338974
64,120,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8626608997583389,0.7612250447273254
64,90,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8609568476676941,0.7866295725107193
256,120,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8596484661102295,0.6852521002292633
128,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.858402669429779,0.8370735198259354
128,120,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8556520640850067,0.7806497365236282
256,120,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8520799726247787,0.8490884006023407
64,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8499378561973572,0.7553954422473907
64,120,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8476440012454987,0.7950555831193924
64,120,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8463762402534485,0.7732944935560226
64,120,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8455798625946045,0.6383653581142426
256,120,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8446567803621292,0.7885738462209702
128,120,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8438152372837067,0.8164810389280319
256,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8434498906135559,0.8314356356859207
256,120,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8420909643173218,0.7848952263593674
64,120,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8405554443597794,0.718262255191803
128,120,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8383601158857346,0.6562613844871521
128,120,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8375777453184128,0.8333906531333923
64,90,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8371318876743317,0.7915051877498627
64,120,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8371312767267227,0.7862385958433151
128,90,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8361813426017761,0.6765036880970001
128,90,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8352508693933487,0.8219663202762604
