   Ordinate,   Date / Time,Capella Gage FLOW,EF Russian 20 ET-POTENTIAL,EF Russian 20 FLOW,EF Russian 20 FLOW-BASE,EF Russian 20 INFILTRATION,EF Russian 20 PERC-SOIL,EF Russian 20 SATURATION FRACTION,Lake Mendocino Storage
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,
Units,,CFS,IN,CFS,CFS,IN,IN,IN/IN,ACRFT
Type,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM
1,1-Oct-94,481.916626,0.066151,385.320801,385.320801,0,0,0.696838,43611.00
2,2-Oct-94,422.200256,0.110752,325.200256,325.200256,0,0,0.687917,43449.00
3,3-Oct-94,401.010406,0.097419,301.072906,301.072906,0,0,0.677802,43258.00
4,4-Oct-94,350.536926,0.026083,271.099426,271.099426,0,0,0.671157,43082.00
5,5-Oct-94,325.131805,0.053415,237.319305,237.319305,0,0,0.670204,42964.00
6,6-Oct-94,292.534271,0.086248,204.534256,204.534256,0,0,0.667322,42862.00
7,7-Oct-94,262.955078,0.091789,174.955078,174.955078,0,0,0.659376,42774.00
8,8-Oct-94,237.137482,0.085098,149.137482,149.137482,0,0,0.65047,42686.00
9,9-Oct-94,212.975372,0.081256,126.933701,126.933701,0,0,0.642361,42628.00
10,10-Oct-94,193.962234,0.082889,107.962234,107.962234,0,0,0.633859,42482.00
11,11-Oct-94,179.757294,0.07327,91.798965,91.798965,0,0,0.626209,42307.00
12,12-Oct-94,164.087112,0.087578,78.045441,78.045441,0,0,0.618143,42089.00
13,13-Oct-94,154.307114,0.089592,66.348785,66.348785,0,0,0.609469,41958.00
14,14-Oct-94,142.445389,0.081422,56.403728,56.403728,0,0,0.601261,41871.00
15,15-Oct-94,142.761337,0.090096,47.948837,47.948837,0,0,0.591865,41769.00
16,16-Oct-94,138.698639,0.078049,40.761143,40.761143,0,0,0.58376,41683.00
17,17-Oct-94,131.671677,0.053457,34.650845,34.650845,0,0,0.5772,41654.00
18,18-Oct-94,126.456482,0.079708,29.456482,29.456482,0,0,0.570578,41552.00
19,19-Oct-94,120.082443,0.076411,25.040775,25.040775,0,0,0.562759,41480.00
20,20-Oct-94,118.245338,0.067971,21.287006,21.287006,0,0,0.555475,41394.00
21,21-Oct-94,115.095947,0.070624,18.095951,18.095951,0,0,0.548497,41307.00
22,22-Oct-94,112.383255,0.066204,15.383253,15.383253,0,0,0.541638,41206.00
23,23-Oct-94,110.077209,0.07861,13.077207,13.077207,0,0,0.534532,41076.00
24,24-Oct-94,108.116852,0.063758,11.116851,11.116851,0,0,0.527573,40946.00
25,25-Oct-94,106.450363,0.040913,9.450364,9.450364,0,0,0.52215,40860.00
26,26-Oct-94,105.033691,0.04262,8.033695,8.033695,0,0,0.517963,40745.00
27,27-Oct-94,103.829391,0.043827,6.829393,6.829393,0,0,0.513692,40645.00
28,28-Oct-94,105.743126,0.058341,5.805624,5.805624,0,0,0.508527,40573.00
29,29-Oct-94,94.16449,0.061087,4.935324,4.935324,0,0,0.502566,40516.00
30,30-Oct-94,99.070488,0.059753,4.195487,4.195487,0,0,0.496555,40402.00
31,31-Oct-94,98.566559,0.046696,3.566557,3.566557,0,0,0.491251,40302.00
32,1-Nov-94,98.031906,0.033707,3.031908,3.031908,0,0,0.488786,40230.00
33,2-Nov-94,97.577408,0.0602,2.577406,2.577406,0,0,0.488084,40173.00
34,3-Nov-94,99.149368,0.050691,2.191036,2.191036,0,0,0.484403,40145.00
35,4-Nov-94,122.277412,0.024717,25.277412,1.862586,0.98199,0,0.49548,40059.00
36,5-Nov-94,391.810272,0.016312,294.810272,1.583373,0.641084,0,0.629063,40187.00
37,6-Nov-94,103.176033,0.017249,6.176033,1.346017,0.096614,0,0.651172,40273.00
38,7-Nov-94,98.172562,0.042729,1.172564,1.144241,0,0,0.651959,40302.00
39,8-Nov-94,97.97271,0.042831,0.972712,0.972712,0,0,0.65194,40344.00
40,9-Nov-94,2003.794312,0.014242,1906.794312,404.586273,0.983728,0.499801,0.688798,40473.00
41,10-Nov-94,505.140259,0.033666,379.744415,313.813507,0,0,0.7,40745.00
42,11-Nov-94,211.243759,0.021701,101.889595,101.889595,0,0,0.7,40875.00
43,12-Nov-94,164.216934,0.048363,61.091927,61.091927,0,0,0.699889,40947.00
44,13-Nov-94,150.591827,0.040989,49.550167,49.550167,0,0,0.697559,40962.00
45,14-Nov-94,140.706665,0.048032,42.644165,42.644165,0,0,0.693439,41004.00
46,15-Nov-94,481.875732,0.026425,383.875732,373.198944,0.454176,0.357565,0.69841,41106.00
47,16-Nov-94,318.716309,0.036713,220.716324,220.169632,0.025435,0.021759,0.700008,41205.00
48,17-Nov-94,329.147919,0.045597,228.210434,225.520737,0.084377,0.088053,0.700008,41292.00
49,18-Nov-94,225.004883,0.04502,102.463219,102.44355,0,0,0.7,41336.00
50,19-Nov-94,176.684204,0.030749,70.33004,70.33004,0,0,0.699082,41379.00
51,20-Nov-94,164.082367,0.006393,58.082359,58.082359,0,0,0.697757,41422.00
52,21-Nov-94,152.703278,0.026668,49.640774,49.640774,0,0,0.696133,41465.00
53,22-Nov-94,145.475296,0.033803,42.475288,42.475288,0,0,0.69307,41523.00
54,23-Nov-94,136.307587,0.024836,36.245087,36.245087,0,0,0.690121,41539.00
55,24-Nov-94,231.198898,0.019477,150.782242,138.175156,0.679295,0.4308,0.69359,41567.00
56,25-Nov-94,1560.042114,0.018224,1478.08374,1230.42749,0.651968,0.780108,0.702128,41769.00
57,26-Nov-94,773.703247,0.032398,650.578247,645.632019,0.095901,0.095901,0.700047,42220.00
58,27-Nov-94,630.310608,0.004152,504.352234,498.653809,0.242102,0.242102,0.7,42467.00
59,28-Nov-94,405.448425,0.023304,301.969238,301.485046,0,0,0.7,42730.00
60,29-Nov-94,184.229462,0.023171,182.083633,182.083633,0,0,0.7,42745.00
61,30-Nov-94,145.054764,0.031382,145.054764,145.054764,0,0,0.7,42730.00
62,1-Dec-94,123.306786,0.011592,123.306786,123.306786,0,0,0.7,42643.00
63,2-Dec-94,180.943268,0.015482,105.547432,105.547432,0,0,0.699752,42570.00
64,3-Dec-94,2031.510864,0.009038,1960.385864,1008.765625,1.101338,1.095305,0.705729,42613.00
65,4-Dec-94,951.442993,0.02757,829.526367,752.139099,0,0,0.7,44053.00
66,5-Dec-94,389.234802,0.013138,285.818146,285.818146,0,0,0.7,44290.00
67,6-Dec-94,317.308502,0.01527,236.829315,235.824478,0.041014,0.041014,0.7,44469.00
68,7-Dec-94,249.887161,0.028378,166.949661,166.941299,0,0,0.7,44601.00
69,8-Dec-94,188.314499,0.021974,136.647842,136.647842,0,0,0.7,44601.00
70,9-Dec-94,166.266159,0.022828,116.245323,116.245323,0,0,0.7,44601.00
71,10-Dec-94,150.238174,0.009066,99.259003,99.259003,0,0,0.7,44601.00
72,11-Dec-94,427.843964,0.008132,376.843964,279.642761,0.346656,0.343871,0.700536,44572.00
73,12-Dec-94,586.938782,0.008736,533.980469,475.809387,0.164858,0.164858,0.700071,44661.00
74,13-Dec-94,329.310394,0.007378,253.789551,253.068237,0,0,0.7,44928.00
75,14-Dec-94,859.429504,0.010941,783.429504,767.297546,0.720321,0.720321,0.702443,45122.00
76,15-Dec-94,609.448914,0.012376,518.761414,517.098389,0,0,0.7,45914.00
77,16-Dec-94,383.993103,0.010143,303.763947,302.148102,0.066083,0.066083,0.7,46215.00
78,17-Dec-94,259.763245,0.011778,180.742416,180.725739,0,0,0.7,46621.00
79,18-Dec-94,292.858887,0.017976,212.879715,211.423126,0.059452,0.059452,0.700035,46893.00
80,19-Dec-94,219.668854,0.018417,139.668854,139.656723,0,0,0.7,47119.00
81,20-Dec-94,189.43335,0.017114,110.412521,110.412521,0,0,0.7,47271.00
82,21-Dec-94,172.024612,0.021873,93.02462,93.02462,0,0,0.7,47377.00
83,22-Dec-94,153.323929,0.028317,79.219765,79.219765,0,0,0.699858,47469.00
84,23-Dec-94,143.444153,0.029393,67.485817,67.485817,0,0,0.698359,47544.00
85,24-Dec-94,644.400757,0.026003,571.338257,559.002869,0.513218,0.480284,0.700878,47696.00
86,25-Dec-94,345.318695,0.041221,268.402039,268.058777,0,0,0.7,48077.00
87,26-Dec-94,197.838165,0.025748,123.775673,123.775673,0,0,0.7,48275.00
88,27-Dec-94,136.086929,0.012034,134.545258,133.615845,0.221141,0.218592,0.700204,48305.00
89,28-Dec-94,317.980804,0.034299,317.980804,313.448425,0,0,0.7,48382.00
90,29-Dec-94,127.711884,0.020423,127.711884,127.710594,0,0,0.7,48595.00
91,30-Dec-94,85.711914,0.020545,85.711914,85.711914,0,0,0.7,48611.00
92,31-Dec-94,70.110031,0.012391,70.110031,70.110031,0,0,0.7,48611.00
93,1-Jan-95,61.190414,0.012932,59.721664,59.721664,0,0,0.7,48596.00
94,2-Jan-95,125.488815,0.036029,51.040901,51.040901,0,0,0.699793,48535.00
95,3-Jan-95,373.48764,0.012656,291.61264,285.341125,0.274841,0.260038,0.699625,48626.00
96,4-Jan-95,312.923645,0.017844,232.881989,230.951187,0.066059,0.066059,0.7,48932.00
97,5-Jan-95,811.67749,0.014813,719.92749,705.838501,0.591502,0.591502,0.701477,49857.00
98,6-Jan-95,886.034241,0.012362,794.034241,782.610657,0.813265,0.761683,0.701094,51475.00
99,7-Jan-95,3450.519775,0.01793,3358.519775,1870.388062,1.427197,1.382314,0.714594,55097.00
100,8-Jan-95,7894.629883,0.020231,7818.296387,2294.067627,1.893726,1.396037,0.737967,60245.00
101,9-Jan-95,7582.234863,0.02134,7579.182617,2558.448242,1.286379,1.416407,0.762278,77184.00
102,10-Jan-95,2720.153076,0.026896,2718.653076,2499.039551,0.533468,0.997594,0.713684,84450.00
103,11-Jan-95,2080.417236,0.019283,2080.385986,2060.342529,0.721352,0.721352,0.701679,87345.00
104,12-Jan-95,2312.130859,0.020444,2312.130859,1946.174927,0.994396,0.913881,0.704914,90694.00
105,13-Jan-95,4980.666992,0.016774,4979.198242,2396.291748,1.917609,1.438781,0.734463,94624.00
106,14-Jan-95,3164.425781,0.016703,3162.925781,2697.421875,0.383612,0.942954,0.723883,106414.00
107,15-Jan-95,1485.386353,0.017263,1485.355103,1483.534058,0.05716,0.05716,0.7,109947.00
108,16-Jan-95,843.991089,0.0269,843.991089,843.981323,0,0,0.7,111731.00
109,17-Jan-95,645.916809,0.019696,644.448059,644.448059,0,0,0.7,109048.00
