   Ordinate,   Date / Time,Hopland Gage FLOW,Russian 60 ET-POTENTIAL,Russian 60 FLOW,Russian 60 FLOW-BASE,Russian 60 INFILTRATION,Russian 60 PERC-SOIL,Russian 60 SATURATION FRACTION,Russian 70 ET-POTENTIAL,Russian 70 FLOW,Russian 70 FLOW-BASE,Russian 70 INFILTRATION,Russian 70 PERC-SOIL,Russian 70 SATURATION FRACTION,WF Russian ET-POTENTIAL,WF Russian FLOW,WF Russian FLOW-BASE,WF Russian INFILTRATION,WF Russian PERC-SOIL,WF Russian SATURATION FRACTION,Lake Mendocino Storage
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
Units, ,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,ACRFT
Type, ,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM
1,1-Oct-94,153,0.0331,0,0,0,0,0,0.0331,0,0,0,0,0,0.0283,0,0,0,0,0,43611.00
2,2-Oct-94,153,0.0554,0,0,0,0,0,0.0554,0,0,0,0,0,0.0475,0,0,0,0,0,43449.00
3,3-Oct-94,153,0.0487,0,0,0,0,0,0.0487,0,0,0,0,0,0.0417,0,0,0,0,0,43258.00
4,4-Oct-94,147.1886,0.0131,0.2729,0,0.1088,0,0.006,0.013,0.6341,0,0.0163,0,0.0008,0.0112,0,0,0,0,0,43082.00
5,5-Oct-94,133.9202,0.0267,0.3386,0,0,0,0.0155,0.0267,0.7336,0,0,0,0.0023,0.0229,0,0,0,0,0,42964.00
6,6-Oct-94,122.2251,0.0431,0.0221,0,0,0,0.0155,0.0431,0.0321,0,0,0,0.0023,0.0369,0,0,0,0,0,42862.00
7,7-Oct-94,119.2593,0.0459,0,0,0,0,0.0146,0.0459,0,0,0,0,0.0014,0.0393,0,0,0,0,0,42774.00
8,8-Oct-94,119.0134,0.0426,0,0,0,0,0.0101,0.0425,0,0,0,0,0,0.0364,0,0,0,0,0,42686.00
9,9-Oct-94,119.0006,0.0406,0,0,0,0,0.0043,0.0406,0,0,0,0,0,0.0348,0,0,0,0,0,42628.00
10,10-Oct-94,127.0927,0.0414,0,0,0,0,0.0005,0.0414,0,0,0,0,0,0.0355,0,0,0,0,0,42482.00
11,11-Oct-94,145.9587,0.0367,0,0,0,0,0,0.0366,0,0,0,0,0,0.0314,0,0,0,0,0,42307.00
12,12-Oct-94,147.9193,0.0438,0,0,0,0,0,0.0438,0,0,0,0,0,0.0375,0,0,0,0,0,42089.00
13,13-Oct-94,127.2859,0.0448,0,0,0,0,0,0.0448,0,0,0,0,0,0.0384,0,0,0,0,0,41958.00
14,14-Oct-94,114.3015,0.0407,0,0,0,0,0,0.0407,0,0,0,0,0,0.0349,0,0,0,0,0,41871.00
15,15-Oct-94,113.0694,0.0451,0,0,0,0,0,0.045,0,0,0,0,0,0.0386,0,0,0,0,0,41769.00
16,16-Oct-94,113.0031,0.039,0,0,0,0,0,0.039,0,0,0,0,0,0.0334,0,0,0,0,0,41683.00
17,17-Oct-94,113.0001,0.0268,0,0,0,0,0,0.0267,0,0,0,0,0,0.0229,0,0,0,0,0,41654.00
18,18-Oct-94,113,0.0399,0,0,0,0,0,0.0399,0,0,0,0,0,0.0342,0,0,0,0,0,41552.00
19,19-Oct-94,113,0.0382,0,0,0,0,0,0.0382,0,0,0,0,0,0.0327,0,0,0,0,0,41480.00
20,20-Oct-94,116.5967,0.034,0,0,0,0,0,0.034,0,0,0,0,0,0.0291,0,0,0,0,0,41394.00
21,21-Oct-94,125.5311,0.0353,0,0,0,0,0,0.0353,0,0,0,0,0,0.0303,0,0,0,0,0,41307.00
22,22-Oct-94,133.6559,0.0331,0,0,0,0,0,0.0331,0,0,0,0,0,0.0284,0,0,0,0,0,41206.00
23,23-Oct-94,136.7094,0.0393,0,0,0,0,0,0.0393,0,0,0,0,0,0.0337,0,0,0,0,0,41076.00
24,24-Oct-94,132.4887,0.0319,0,0,0,0,0,0.0319,0,0,0,0,0,0.0273,0,0,0,0,0,40946.00
25,25-Oct-94,123.9205,0.0205,0,0,0,0,0,0.0205,0,0,0,0,0,0.0175,0,0,0,0,0,40860.00
26,26-Oct-94,122.1397,0.0213,0,0,0,0,0,0.0213,0,0,0,0,0,0.0183,0,0,0,0,0,40745.00
27,27-Oct-94,127.4103,0.0219,0,0,0,0,0,0.0219,0,0,0,0,0,0.0188,0,0,0,0,0,40645.00
28,28-Oct-94,130.6736,0.0292,0,0,0,0,0,0.0292,0,0,0,0,0,0.025,0,0,0,0,0,40573.00
29,29-Oct-94,130.9826,0.0306,0,0,0,0,0,0.0305,0,0,0,0,0,0.0262,0,0,0,0,0,40516.00
30,30-Oct-94,131.4488,0.0299,0,0,0,0,0,0.0299,0,0,0,0,0,0.0256,0,0,0,0,0,40402.00
31,31-Oct-94,126.553,0.0234,0,0,0,0,0,0.0234,0,0,0,0,0,0.02,0,0,0,0,0,40302.00
32,1-Nov-94,117.4716,0.0169,0,0,0,0,0,0.0169,0,0,0,0,0,0.0144,0,0,0,0,0,40230.00
33,2-Nov-94,113.3958,0.0301,0,0,0,0,0,0.0301,0,0,0,0,0,0.0258,0,0,0,0,0,40173.00
34,3-Nov-94,113.021,0.0254,0,0,0,0,0,0.0254,0,0,0,0,0,0.0217,0,0,0,0,0,40145.00
35,4-Nov-94,114.8298,0.0124,0.1814,0,0.5978,0,0.0097,0.0124,7.5287,0,0.8585,0,0.017,0.0106,15.1912,0,1.1767,0,0.0253,40059.00
36,5-Nov-94,257.5396,0.0082,6.5155,0,0.9044,0,0.1725,0.0082,102.6193,0,0.6104,0,0.1874,0.007,56.4535,0,0.4296,0,0.2152,40187.00
37,6-Nov-94,145.0053,0.0086,2.6222,0,0.1367,0,0.2326,0.0086,23.9639,0,0.105,0,0.2237,0.0074,3.7427,0,0.0219,0,0.2324,40273.00
38,7-Nov-94,88.5573,0.0214,0.2212,0,0,0,0.2341,0.0214,1.3974,0,0,0,0.2248,0.0183,0,0,0,0,0.2326,40302.00
39,8-Nov-94,83.1651,0.0215,0.0047,0,0,0,0.2341,0.0214,0.0058,0,0,0,0.2248,0.0183,0,0,0,0,0.2326,40344.00
40,9-Nov-94,214.8331,0.0071,7.3925,0,1.701,0,0.4045,0.0071,115.8051,0,1.6798,0,0.394,0.0061,79.4394,0,1.7413,0,0.4084,40473.00
41,10-Nov-94,174.3255,0.0169,2.3854,0,0,0,0.4771,0.0168,28.0108,0,0,0,0.4648,0.0144,1.1864,0,0,0,0.4814,40745.00
42,11-Nov-94,83.9532,0.0109,0.1286,0,0,0,0.4771,0.0109,0.8187,0,0,0,0.4648,0.0093,0,0,0,0,0.4814,40875.00
43,12-Nov-94,75.3852,0.0242,0,0,0,0,0.4771,0.0242,0,0,0,0,0.4648,0.0207,0,0,0,0,0.4814,40947.00
44,13-Nov-94,75.0151,0.0205,0,0,0,0,0.4771,0.0205,0,0,0,0,0.4648,0.0175,0,0,0,0,0.4814,40962.00
45,14-Nov-94,76.799,0.024,0,0,0,0,0.4771,0.024,0,0,0,0,0.4648,0.0206,0,0,0,0,0.4814,41004.00
46,15-Nov-94,114.5639,0.0132,2.0272,0,0.482,0,0.5223,0.0132,33.9918,0,0.5021,0,0.5127,0.0113,24.0602,0,0.525,0,0.5329,41106.00
47,16-Nov-94,115.6939,0.0184,0.7388,0,0,0,0.546,0.0184,8.9941,0,0.0734,0,0.5369,0.0157,0.4373,0,0.1418,0,0.5572,41205.00
48,17-Nov-94,99.4722,0.0228,0.0413,0,0,0,0.546,0.0228,9.7302,0,0.0457,0,0.5533,0.0195,10.519,0,0.0895,0,0.5887,41292.00
49,18-Nov-94,85.3882,0.0225,0,0,0,0,0.546,0.0225,0.7631,0,0,0,0.5536,0.0193,0,0,0,0,0.5894,41336.00
50,19-Nov-94,80.3464,0.0154,0,0,0,0,0.546,0.0154,0.0006,0,0,0,0.5536,0.0132,0,0,0,0,0.5894,41379.00
51,20-Nov-94,80.0146,0.0032,0,0,0,0,0.546,0.0032,0,0,0,0,0.5536,0.0027,0,0,0,0,0.5894,41422.00
52,21-Nov-94,80.0006,0.0134,0,0,0,0,0.546,0.0133,0,0,0,0,0.5536,0.0114,0,0,0,0,0.5894,41465.00
53,22-Nov-94,80,0.0169,0,0,0,0,0.546,0.0169,0,0,0,0,0.5536,0.0145,0,0,0,0,0.5894,41523.00
54,23-Nov-94,80,0.0125,0,0,0,0,0.5456,0.0124,0,0,0,0,0.5532,0.0106,0,0,0,0,0.5894,41539.00
