   Ordinate,   Date / Time,Warm Springs Dam Inflow FLOW,Dry Creek 20 ET-POTENTIAL,Dry Creek 20 FLOW,Dry Creek 20 FLOW-BASE,Dry Creek 20 INFILTRATION,Dry Creek 20 PERC-SOIL,Dry Creek 20 SATURATION FRACTION,Dry Creek 30 ET-POTENTIAL,Dry Creek 30 FLOW,Dry Creek 30 FLOW-BASE,Dry Creek 30 INFILTRATION,Dry Creek 30 PERC-SOIL,Dry Creek 30 SATURATION FRACTION
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,
Units, ,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type, ,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,1-Oct-94,64.825996,0.033286,21.107,21.107,0,0,0,0.028383,43.718998,43.718998,0,0,0
2,2-Oct-94,64.825996,0.047009,21.106998,21.106998,0,0,0,0.047485,43.718998,43.718998,0,0,0
3,3-Oct-94,64.825981,0.040214,21.106993,21.106993,0,0,0,0.041777,43.718987,43.718987,0,0,0
4,4-Oct-94,88.568268,0.011207,31.838606,21.106983,0.324271,0,0.021365,0.011193,56.884308,43.718964,0.25479,0,0.017624
5,5-Oct-94,70.077744,0.033213,21.41761,21.106964,0,0,0.046324,0.022912,48.507267,43.718925,0,0,0.036399
6,6-Oct-94,64.845108,0.036458,21.106936,21.106936,0,0,0.046324,0.03698,43.73634,43.718868,0,0,0.036399
7,7-Oct-94,64.825676,0.042739,21.106895,21.106895,0,0,0.045659,0.039362,43.718781,43.718781,0,0,0.036399
8,8-Oct-94,64.825508,0.037034,21.10684,21.10684,0,0,0.041824,0.036496,43.718666,43.718666,0,0,0.033847
9,9-Oct-94,64.825287,0.026507,21.106768,21.106768,0,0,0.037357,0.034856,43.718517,43.718517,0,0,0.028907
10,10-Oct-94,64.825012,0.027318,21.106676,21.106676,0,0,0.033617,0.035536,43.71833,43.71833,0,0,0.023698
11,11-Oct-94,64.824669,0.030482,21.106565,21.106565,0,0,0.029478,0.031445,43.718098,43.718098,0,0,0.019011
12,12-Oct-94,64.824257,0.048122,21.106432,21.106432,0,0,0.023871,0.03757,43.717823,43.717823,0,0,0.014067
13,13-Oct-94,64.823769,0.043679,21.106272,21.106272,0,0,0.017402,0.03843,43.717491,43.717491,0,0,0.008752
14,14-Oct-94,64.823196,0.045476,21.106087,21.106087,0,0,0.011229,0.034945,43.71711,43.71711,0,0,0.00372
15,15-Oct-94,64.82254,0.049351,21.105873,21.105873,0,0,0.004018,0.038654,43.716663,43.716663,0,0,0.000176
16,16-Oct-94,64.821793,0.043454,21.105629,21.105629,0,0,0.00017,0.033458,43.71616,43.71616,0,0,0
17,17-Oct-94,64.820938,0.028398,21.10535,21.10535,0,0,0,0.022945,43.715584,43.715584,0,0,0
18,18-Oct-94,64.819984,0.035506,21.10504,21.10504,0,0,0,0.034163,43.714943,43.714943,0,0,0
19,19-Oct-94,64.818924,0.02621,21.104692,21.104692,0,0,0,0.032748,43.714222,43.714222,0,0,0
20,20-Oct-94,64.817741,0.028358,21.104309,21.104309,0,0,0,0.029134,43.713425,43.713425,0,0,0
21,21-Oct-94,64.816437,0.035576,21.103884,21.103884,0,0,0,0.030268,43.712547,43.712547,0,0,0
