Col Number,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
   Ordinate,Date,Time,Guerneville Gage FLOW,Big Sulphur Cr ET-POTENTIAL,Big Sulphur Cr FLOW,Big Sulphur Cr FLOW-BASE,Big Sulphur Cr INFILTRATION,Big Sulphur Cr PERC-SOIL,Big Sulphur Cr SATURATION FRACTION,Dry Creek 10 ET-POTENTIAL,Dry Creek 10 FLOW,Dry Creek 10 FLOW-BASE,Dry Creek 10 INFILTRATION,Dry Creek 10 PERC-SOIL,Dry Creek 10 SATURATION FRACTION,Green Valley ET-POTENTIAL,Green Valley FLOW,Green Valley FLOW-BASE,Green Valley INFILTRATION,Green Valley PERC-SOIL,Green Valley SATURATION FRACTION,Laguna ET-POTENTIAL,Laguna FLOW,Laguna FLOW-BASE,Laguna INFILTRATION,Laguna PERC-SOIL,Laguna SATURATION FRACTION,Russian 20 ET-POTENTIAL,Russian 20 FLOW,Russian 20 FLOW-BASE,Russian 20 INFILTRATION,Russian 20 PERC-SOIL,Russian 20 SATURATION FRACTION,Russian 30 ET-POTENTIAL,Russian 30 FLOW,Russian 30 FLOW-BASE,Russian 30 INFILTRATION,Russian 30 PERC-SOIL,Russian 30 SATURATION FRACTION,Russian 40 ET-POTENTIAL,Russian 40 FLOW,Russian 40 FLOW-BASE,Russian 40 INFILTRATION,Russian 40 PERC-SOIL,Russian 40 SATURATION FRACTION,Russian 50 ET-POTENTIAL,Russian 50 FLOW,Russian 50 FLOW-BASE,Russian 50 INFILTRATION,Russian 50 PERC-SOIL,Russian 50 SATURATION FRACTION,Russian 60 ET-POTENTIAL,Russian 60 FLOW,Russian 60 FLOW-BASE,Russian 60 INFILTRATION,Russian 60 PERC-SOIL,Russian 60 SATURATION FRACTION,Russian 70 ET-POTENTIAL,Russian 70 FLOW,Russian 70 FLOW-BASE,Russian 70 INFILTRATION,Russian 70 PERC-SOIL,Russian 70 SATURATION FRACTION,Santa Rosa Cr 10 ET-POTENTIAL,Santa Rosa Cr 10 FLOW,Santa Rosa Cr 10 FLOW-BASE,Santa Rosa Cr 10 INFILTRATION,Santa Rosa Cr 10 PERC-SOIL,Santa Rosa Cr 10 SATURATION FRACTION,Santa Rosa Cr 20 ET-POTENTIAL,Santa Rosa Cr 20 FLOW,Santa Rosa Cr 20 FLOW-BASE,Santa Rosa Cr 20 INFILTRATION,Santa Rosa Cr 20 PERC-SOIL,Santa Rosa Cr 20 SATURATION FRACTION,WF Russian ET-POTENTIAL,WF Russian FLOW,WF Russian FLOW-BASE,WF Russian INFILTRATION,WF Russian PERC-SOIL,WF Russian SATURATION FRACTION
Units, ,,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type, ,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,1-Oct-94,24:00:00,227.2199,0.0379,0,0,0,0,0,0.0444,0,0,0,0,0,0.0444,0,0,0,0,0,0.0444,0,0,0,0,0,0.0443,0,0,0,0,0,0.0444,0,0,0,0,0,0.0378,0,0,0,0,0,0.0379,0,0,0,0,0,0.0331,0,0,0,0,0,0.0331,0,0,0,0,0,0.0444,0,0,0,0,0,0.0444,0,0,0,0,0,0.0283,0,0,0,0,0
2,2-Oct-94,24:00:00,236.9499,0.0634,0,0,0,0,0,0.0627,0,0,0,0,0,0.0627,0,0,0,0,0,0.0627,0,0,0,0,0,0.0627,0,0,0,0,0,0.0627,0,0,0,0,0,0.0633,0,0,0,0,0,0.0633,0,0,0,0,0,0.0554,0,0,0,0,0,0.0554,0,0,0,0,0,0.0627,0,0,0,0,0,0.0628,0,0,0,0,0,0.0475,0,0,0,0,0
3,3-Oct-94,24:00:00,241.5989,0.0558,0,0,0,0,0,0.0536,0,0,0,0,0,0.0536,0,0,0,0,0,0.0537,0,0,0,0,0,0.0536,0,0,0,0,0,0.0536,0,0,0,0,0,0.0557,0,0,0,0,0,0.0557,0,0,0,0,0,0.0487,0,0,0,0,0,0.0487,0,0,0,0,0,0.0536,0,0,0,0,0,0.0537,0,0,0,0,0,0.0417,0,0,0,0,0
4,4-Oct-94,24:00:00,292.6814,0.015,1.4238,0,0.3127,0,0.0185,0.0149,1.4227,0,0.4412,0,0.0287,0.0149,6.4514,0,0.9602,0,0.0485,0.015,41.8573,0,0.7972,0,0.0402,0.0149,9.1424,0,0.624,0,0.0361,0.015,6.7396,0,0.5505,0,0.029,0.0149,4.6571,0,0.1557,0,0.0124,0.0149,0.5202,0,0.1931,0,0.0122,0.0131,0.2729,0,0.1088,0,0.006,0.013,0.6341,0,0.0163,0,0.0008,0.015,19.7911,0,0.6965,0,0.0395,0.015,104.7752,0,0.7699,0,0.0423,0.0112,0,0,0,0,0
5,5-Oct-94,24:00:00,880.0562,0.0306,1.3017,0,0,0,0.0447,0.0443,3.4129,0,0,0,0.0735,0.0443,30.8766,0,0,0,0.16,0.0443,163.0253,0,0,0,0.1329,0.0443,19.3897,0,0,0,0.104,0.0443,5.0826,0,0,0,0.0786,0.0305,1.5583,0,0,0,0.0222,0.0306,0.7469,0,0,0,0.0276,0.0267,0.3386,0,0,0,0.0155,0.0267,0.7336,0,0,0,0.0023,0.0443,58.7335,0,0,0,0.1161,0.0444,280.4417,0,0,0,0.1283,0.0229,0,0,0,0,0
6,6-Oct-94,24:00:00,415.631,0.0494,0.1286,0,0,0,0.0447,0.0486,0.8796,0,0,0,0.0735,0.0486,9.1236,0,0,0,0.16,0.0486,40.4676,0,0,0,0.1329,0.0486,3.4966,0,0,0,0.104,0.0486,0.2091,0,0,0,0.0786,0.0493,0.0581,0,0,0,0.0222,0.0493,0.1507,0,0,0,0.0276,0.0431,0.0221,0,0,0,0.0155,0.0431,0.0321,0,0,0,0.0023,0.0486,14.1997,0,0,0,0.1161,0.0487,58.3214,0,0,0,0.1283,0.0369,0,0,0,0,0
7,7-Oct-94,24:00:00,271.1915,0.0526,0.0009,0,0,0,0.0426,0.057,0.2249,0,0,0,0.0696,0.057,2.6132,0,0,0,0.1561,0.057,9.8585,0,0,0,0.129,0.057,0.6056,0,0,0,0.1001,0.057,0,0,0,0,0.0753,0.0525,0,0,0,0,0.0202,0.0525,0.0303,0,0,0,0.0255,0.0459,0,0,0,0,0.0146,0.0459,0,0,0,0,0.0014,0.057,3.4015,0,0,0,0.1122,0.0571,12.0185,0,0,0,0.1244,0.0393,0,0,0,0,0
8,8-Oct-94,24:00:00,232.256,0.0488,0,0,0,0,0.0364,0.0494,0.0475,0,0,0,0.061,0.0494,0.7479,0,0,0,0.1475,0.0494,1.9259,0,0,0,0.1203,0.0494,0.0006,0,0,0,0.0915,0.0494,0,0,0,0,0.0679,0.0487,0,0,0,0,0.014,0.0487,0.0009,0,0,0,0.0193,0.0426,0,0,0,0,0.0101,0.0425,0,0,0,0,0,0.0494,0.6049,0,0,0,0.1035,0.0495,0.911,0,0,0,0.1158,0.0364,0,0,0,0,0
9,9-Oct-94,24:00:00,221.0517,0.0466,0,0,0,0,0.0297,0.0353,0,0,0,0,0.0541,0.0354,0.0549,0,0,0,0.1406,0.0354,0,0,0,0,0.1134,0.0353,0,0,0,0,0.0845,0.0354,0,0,0,0,0.0619,0.0465,0,0,0,0,0.0074,0.0465,0,0,0,0,0.0127,0.0406,0,0,0,0,0.0043,0.0406,0,0,0,0,0,0.0354,0,0,0,0,0.0966,0.0354,0,0,0,0,0.1088,0.0348,0,0,0,0,0
10,10-Oct-94,24:00:00,219.0624,0.0474,0,0,0,0,0.0228,0.0364,0,0,0,0,0.0482,0.0364,0,0,0,0,0.1347,0.0364,0,0,0,0,0.1076,0.0364,0,0,0,0,0.0787,0.0364,0,0,0,0,0.0569,0.0474,0,0,0,0,0.0017,0.0474,0,0,0,0,0.0058,0.0414,0,0,0,0,0.0005,0.0414,0,0,0,0,0,0.0364,0,0,0,0,0.0908,0.0365,0,0,0,0,0.103,0.0355,0,0,0,0,0
11,11-Oct-94,24:00:00,222.0087,0.0421,0,0,0,0,0.0165,0.0406,0,0,0,0,0.0418,0.0407,0,0,0,0,0.1283,0.0407,0,0,0,0,0.1011,0.0406,0,0,0,0,0.0723,0.0407,0,0,0,0,0.0514,0.0419,0,0,0,0,0,0.0419,0,0,0,0,0.001,0.0367,0,0,0,0,0,0.0366,0,0,0,0,0,0.0407,0,0,0,0,0.0843,0.0407,0,0,0,0,0.0965,0.0314,0,0,0,0,0
