Col Number,,,1,2,3,4,5,6,7
   Ordinate,Date,Time,Capella Gage FLOW,EF Russian 20 ET-POTENTIAL,EF Russian 20 FLOW,EF Russian 20 FLOW-BASE,EF Russian 20 INFILTRATION,EF Russian 20 PERC-SOIL,EF Russian 20 SATURATION FRACTION
Units,,,CFS,IN,CFS,CFS,IN,IN,IN/IN
Type,,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,1-Oct-94,24:00:00,481.916626,0.066151,385.320801,385.320801,0,0,0.696838
2,2-Oct-94,24:00:00,422.200256,0.110752,325.200256,325.200256,0,0,0.687917
3,3-Oct-94,24:00:00,401.010406,0.097419,301.072906,301.072906,0,0,0.677802
4,4-Oct-94,24:00:00,350.536926,0.026083,271.099426,271.099426,0,0,0.671157
5,5-Oct-94,24:00:00,325.131805,0.053415,237.319305,237.319305,0,0,0.670204
6,6-Oct-94,24:00:00,292.534271,0.086248,204.534256,204.534256,0,0,0.667322
7,7-Oct-94,24:00:00,262.955078,0.091789,174.955078,174.955078,0,0,0.659376
8,8-Oct-94,24:00:00,237.137482,0.085098,149.137482,149.137482,0,0,0.65047
9,9-Oct-94,24:00:00,212.975372,0.081256,126.933701,126.933701,0,0,0.642361
10,10-Oct-94,24:00:00,193.962234,0.082889,107.962234,107.962234,0,0,0.633859
11,11-Oct-94,24:00:00,179.757294,0.07327,91.798965,91.798965,0,0,0.626209
12,12-Oct-94,24:00:00,164.087112,0.087578,78.045441,78.045441,0,0,0.618143
13,13-Oct-94,24:00:00,154.307114,0.089592,66.348785,66.348785,0,0,0.609469
14,14-Oct-94,24:00:00,142.445389,0.081422,56.403728,56.403728,0,0,0.601261
15,15-Oct-94,24:00:00,142.761337,0.090096,47.948837,47.948837,0,0,0.591865
16,16-Oct-94,24:00:00,138.698639,0.078049,40.761143,40.761143,0,0,0.58376
17,17-Oct-94,24:00:00,131.671677,0.053457,34.650845,34.650845,0,0,0.5772
18,18-Oct-94,24:00:00,126.456482,0.079708,29.456482,29.456482,0,0,0.570578
19,19-Oct-94,24:00:00,120.082443,0.076411,25.040775,25.040775,0,0,0.562759
20,20-Oct-94,24:00:00,118.245338,0.067971,21.287006,21.287006,0,0,0.555475
21,21-Oct-94,24:00:00,115.095947,0.070624,18.095951,18.095951,0,0,0.548497
22,22-Oct-94,24:00:00,112.383255,0.066204,15.383253,15.383253,0,0,0.541638
23,23-Oct-94,24:00:00,110.077209,0.07861,13.077207,13.077207,0,0,0.534532
24,24-Oct-94,24:00:00,108.116852,0.063758,11.116851,11.116851,0,0,0.527573
25,25-Oct-94,24:00:00,106.450363,0.040913,9.450364,9.450364,0,0,0.52215
26,26-Oct-94,24:00:00,105.033691,0.04262,8.033695,8.033695,0,0,0.517963
27,27-Oct-94,24:00:00,103.829391,0.043827,6.829393,6.829393,0,0,0.513692
28,28-Oct-94,24:00:00,105.743126,0.058341,5.805624,5.805624,0,0,0.508527
29,29-Oct-94,24:00:00,94.16449,0.061087,4.935324,4.935324,0,0,0.502566
30,30-Oct-94,24:00:00,99.070488,0.059753,4.195487,4.195487,0,0,0.496555
31,31-Oct-94,24:00:00,98.566559,0.046696,3.566557,3.566557,0,0,0.491251
32,1-Nov-94,24:00:00,98.031906,0.033707,3.031908,3.031908,0,0,0.488786
33,2-Nov-94,24:00:00,97.577408,0.0602,2.577406,2.577406,0,0,0.488084
34,3-Nov-94,24:00:00,99.149368,0.050691,2.191036,2.191036,0,0,0.484403
35,4-Nov-94,24:00:00,122.277412,0.024717,25.277412,1.862586,0.98199,0,0.49548
36,5-Nov-94,24:00:00,391.810272,0.016312,294.810272,1.583373,0.641084,0,0.629063
37,6-Nov-94,24:00:00,103.176033,0.017249,6.176033,1.346017,0.096614,0,0.651172
38,7-Nov-94,24:00:00,98.172562,0.042729,1.172564,1.144241,0,0,0.651959
39,8-Nov-94,24:00:00,97.97271,0.042831,0.972712,0.972712,0,0,0.65194
40,9-Nov-94,24:00:00,2003.794312,0.014242,1906.794312,404.586273,0.983728,0.499801,0.688798
41,10-Nov-94,24:00:00,505.140259,0.033666,379.744415,313.813507,0,0,0.7
42,11-Nov-94,24:00:00,211.243759,0.021701,101.889595,101.889595,0,0,0.7
43,12-Nov-94,24:00:00,164.216934,0.048363,61.091927,61.091927,0,0,0.699889
44,13-Nov-94,24:00:00,150.591827,0.040989,49.550167,49.550167,0,0,0.697559
45,14-Nov-94,24:00:00,140.706665,0.048032,42.644165,42.644165,0,0,0.693439
46,15-Nov-94,24:00:00,481.875732,0.026425,383.875732,373.198944,0.454176,0.357565,0.69841
47,16-Nov-94,24:00:00,318.716309,0.036713,220.716324,220.169632,0.025435,0.021759,0.700008
48,17-Nov-94,24:00:00,329.147919,0.045597,228.210434,225.520737,0.084377,0.088053,0.700008
49,18-Nov-94,24:00:00,225.004883,0.04502,102.463219,102.44355,0,0,0.7
50,19-Nov-94,24:00:00,176.684204,0.030749,70.33004,70.33004,0,0,0.699082
51,20-Nov-94,24:00:00,164.082367,0.006393,58.082359,58.082359,0,0,0.697757
52,21-Nov-94,24:00:00,152.703278,0.026668,49.640774,49.640774,0,0,0.696133
53,22-Nov-94,24:00:00,145.475296,0.033803,42.475288,42.475288,0,0,0.69307
54,23-Nov-94,24:00:00,136.307587,0.024836,36.245087,36.245087,0,0,0.690121
55,24-Nov-94,24:00:00,231.198898,0.019477,150.782242,138.175156,0.679295,0.4308,0.69359
56,25-Nov-94,24:00:00,1560.042114,0.018224,1478.08374,1230.42749,0.651968,0.780108,0.702128
57,26-Nov-94,24:00:00,773.703247,0.032398,650.578247,645.632019,0.095901,0.095901,0.700047
58,27-Nov-94,24:00:00,630.310608,0.004152,504.352234,498.653809,0.242102,0.242102,0.7
59,28-Nov-94,24:00:00,405.448425,0.023304,301.969238,301.485046,0,0,0.7
60,29-Nov-94,24:00:00,184.229462,0.023171,182.083633,182.083633,0,0,0.7
61,30-Nov-94,24:00:00,145.054764,0.031382,145.054764,145.054764,0,0,0.7
62,1-Dec-94,24:00:00,123.306786,0.011592,123.306786,123.306786,0,0,0.7
63,2-Dec-94,24:00:00,180.943268,0.015482,105.547432,105.547432,0,0,0.699752
64,3-Dec-94,24:00:00,2031.510864,0.009038,1960.385864,1008.765625,1.101338,1.095305,0.705729
65,4-Dec-94,24:00:00,951.442993,0.02757,829.526367,752.139099,0,0,0.7
66,5-Dec-94,24:00:00,389.234802,0.013138,285.818146,285.818146,0,0,0.7
67,6-Dec-94,24:00:00,317.308502,0.01527,236.829315,235.824478,0.041014,0.041014,0.7
68,7-Dec-94,24:00:00,249.887161,0.028378,166.949661,166.941299,0,0,0.7
69,8-Dec-94,24:00:00,188.314499,0.021974,136.647842,136.647842,0,0,0.7
70,9-Dec-94,24:00:00,166.266159,0.022828,116.245323,116.245323,0,0,0.7
71,10-Dec-94,24:00:00,150.238174,0.009066,99.259003,99.259003,0,0,0.7
72,11-Dec-94,24:00:00,427.843964,0.008132,376.843964,279.642761,0.346656,0.343871,0.700536
73,12-Dec-94,24:00:00,586.938782,0.008736,533.980469,475.809387,0.164858,0.164858,0.700071
