Col number,,,1,2,3,4,5,6,7
Ordinate,Date,Time,Capella Gage FLOW,EF Russian 20 ET-POTENTIAL,EF Russian 20 FLOW,EF Russian 20 FLOW-BASE,EF Russian 20 INFILTRATION,EF Russian 20 PERC-SOIL,EF Russian 20 SATURATION FRACTION
Units,, ,CFS,IN,CFS,CFS,IN,IN,IN/IN
Type,,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,30-Sep-94,24:00:00,491.667569,0.002876,394.667569,394.667569,0.0,0.0,0.696845
2,01-Oct-94,24:00:00,422.768057,0.004615,325.768057,325.768057,0.0,0.0,0.688148
3,02-Oct-94,24:00:00,401.493843,0.004016,301.618843,301.618843,0.0,0.0,0.678005
4,03-Oct-94,24:00:00,351.659352,0.001128,271.784352,271.784352,0.0,0.0,0.671207
5,04-Oct-94,24:00:00,325.649593,0.002228,238.024593,238.024593,0.0,0.0,0.670204
6,05-Oct-94,24:00:00,293.187835,0.003594,205.187835,205.187835,0.0,0.0,0.667453
7,06-Oct-94,24:00:00,263.532371,0.003825,175.532371,175.532371,0.0,0.0,0.659567
8,07-Oct-94,24:00:00,237.636592,0.003546,149.636592,149.636592,0.0,0.0,0.650648
9,08-Oct-94,24:00:00,213.444469,0.003386,127.361136,127.361136,0.0,0.0,0.64253
10,09-Oct-94,24:00:00,194.326769,0.003454,108.326769,108.326769,0.0,0.0,0.634031
11,10-Oct-94,24:00:00,180.025954,0.003053,92.109287,92.109287,0.0,0.0,0.626362
12,11-Oct-94,24:00:00,164.392741,0.003649,78.309408,78.309408,0.0,0.0,0.618326
13,12-Oct-94,24:00:00,154.489903,0.003733,66.573237,66.573237,0.0,0.0,0.609656
14,13-Oct-94,24:00:00,142.677889,0.003319,56.594556,56.594556,0.0,0.0,0.601431
15,14-Oct-94,24:00:00,142.736067,0.003824,48.111067,48.111067,0.0,0.0,0.592052
16,15-Oct-94,24:00:00,138.774058,0.003255,40.899058,40.899058,0.0,0.0,0.583923
17,16-Oct-94,24:00:00,131.80975,0.002227,34.768084,34.768084,0.0,0.0,0.577311
18,17-Oct-94,24:00:00,126.556147,0.003321,29.556147,29.556147,0.0,0.0,0.570744
19,18-Oct-94,24:00:00,120.208834,0.003184,25.125501,25.125501,0.0,0.0,0.562918
20,19-Oct-94,24:00:00,118.275698,0.002832,21.359032,21.359032,0.0,0.0,0.555617
21,20-Oct-94,24:00:00,115.157178,0.002943,18.157178,18.157178,0.0,0.0,0.548644
22,21-Oct-94,24:00:00,112.435303,0.002758,15.435303,15.435303,0.0,0.0,0.541776
23,22-Oct-94,24:00:00,110.121453,0.003275,13.121453,13.121453,0.0,0.0,0.534696
24,23-Oct-94,24:00:00,108.154464,0.002657,11.154464,11.154464,0.0,0.0,0.527706
25,24-Oct-94,24:00:00,106.482339,0.001705,9.482339,9.482339,0.0,0.0,0.522235
26,25-Oct-94,24:00:00,105.060877,0.001776,8.060877,8.060877,0.0,0.0,0.518052
27,26-Oct-94,24:00:00,103.8525,0.001826,6.8525,6.8525,0.0,0.0,0.513783
28,27-Oct-94,24:00:00,105.700267,0.002431,5.825267,5.825267,0.0,0.0,0.508649
29,28-Oct-94,24:00:00,94.410356,0.002545,4.952023,4.952023,0.0,0.0,0.502693
30,29-Oct-94,24:00:00,98.959683,0.00249,4.209683,4.209683,0.0,0.0,0.496679
31,30-Oct-94,24:00:00,98.578625,0.001946,3.578625,3.578625,0.0,0.0,0.491348
32,31-Oct-94,24:00:00,98.042166,0.001353,3.042166,3.042166,0.0,0.0,0.488787
33,01-Nov-94,24:00:00,97.586126,0.00256,2.586126,2.586126,0.0,0.0,0.488122
34,02-Nov-94,24:00:00,99.115116,0.002111,2.19845,2.19845,0.0,0.0,0.484509
35,03-Nov-94,24:00:00,113.709015,0.001012,16.709015,1.868888,0.035481,0.0,0.493473
36,04-Nov-94,24:00:00,400.142025,0.000699,303.142025,1.58873,0.03092,0.0,0.627727
37,05-Nov-94,24:00:00,103.423507,0.000711,6.423507,1.350571,0.005253,0.0,0.65097
38,06-Nov-94,24:00:00,98.181823,0.001788,1.181823,1.148112,0.0,0.0,0.651959
39,07-Nov-94,24:00:00,97.976003,0.001766,0.976003,0.976003,0.0,0.0,0.651945
40,08-Nov-94,24:00:00,1983.306087,0.000611,1886.306087,392.247279,0.040989,0.020825,0.687792
41,09-Nov-94,24:00:00,521.85129,0.001404,397.059623,322.979494,0.0,0.0,0.7
42,10-Nov-94,24:00:00,213.29101,0.000904,103.582677,103.582677,0.0,0.0,0.7
43,11-Nov-94,24:00:00,164.719714,0.002015,61.469714,61.469714,0.0,0.0,0.699897
44,12-Nov-94,24:00:00,150.79922,0.001708,49.715887,49.715887,0.0,0.0,0.697644
45,13-Nov-94,24:00:00,140.899779,0.001956,42.774779,42.774779,0.0,0.0,0.693539
46,14-Nov-94,24:00:00,474.638522,0.001147,376.638522,366.027969,0.018924,0.014899,0.698216
47,15-Nov-94,24:00:00,324.002017,0.001517,226.002017,225.392536,0.0,0.0,0.7
48,16-Nov-94,24:00:00,328.967193,0.001877,228.092193,225.402658,0.004576,0.004576,0.700015
49,17-Nov-94,24:00:00,225.773106,0.001911,103.689773,103.66649,0.0,0.0,0.7
50,18-Nov-94,24:00:00,177.392077,0.001281,70.683744,70.683744,0.0,0.0,0.699123
51,19-Nov-94,24:00:00,164.2801,0.000266,58.2801,58.2801,0.0,0.0,0.697771
52,20-Nov-94,24:00:00,152.925907,0.001111,49.800907,49.800907,0.0,0.0,0.696189
53,21-Nov-94,24:00:00,145.614474,0.001408,42.614474,42.614474,0.0,0.0,0.693141
54,22-Nov-94,24:00:00,136.490725,0.001035,36.365725,36.365725,0.0,0.0,0.690173
55,23-Nov-94,24:00:00,209.492322,0.000812,128.658988,121.466559,0.024688,0.015216,0.693092
56,24-Nov-94,24:00:00,1562.804481,0.000753,1480.887814,1228.120012,0.029543,0.033999,0.702395
57,25-Nov-94,24:00:00,784.514244,0.001356,662.264244,657.039304,0.005235,0.005235,0.700047
58,26-Nov-94,24:00:00,629.290663,0.000173,503.373996,497.708096,0.010088,0.010088,0.7
59,27-Nov-94,24:00:00,410.743111,0.000971,306.784777,306.243619,0.0,0.0,0.7
60,28-Nov-94,24:00:00,187.55821,0.000965,183.266543,183.266543,0.0,0.0,0.7
61,29-Nov-94,24:00:00,145.589361,0.001308,145.589361,145.589361,0.0,0.0,0.7
62,30-Nov-94,24:00:00,123.706611,0.000483,123.706611,123.706611,0.0,0.0,0.7
63,01-Dec-94,24:00:00,179.683037,0.000645,105.89137,105.89137,0.0,0.0,0.699765
64,02-Dec-94,24:00:00,1996.372074,0.000377,1925.122074,982.640807,0.045889,0.045638,0.705717
65,03-Dec-94,24:00:00,979.261982,0.001149,858.428649,771.902393,0.0,0.0,0.7
66,04-Dec-94,24:00:00,393.56498,0.000547,289.731647,289.731647,0.0,0.0,0.7
67,05-Dec-94,24:00:00,318.286025,0.000636,237.327692,236.324302,0.001709,0.001709,0.7
68,06-Dec-94,24:00:00,250.70287,0.001182,167.82787,167.818044,0.0,0.0,0.7
