Col Number,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
   Ordinate,Date,Time,Guerneville Gage FLOW,Big Sulphur Cr ET-POTENTIAL,Big Sulphur Cr FLOW,Big Sulphur Cr FLOW-BASE,Big Sulphur Cr INFILTRATION,Big Sulphur Cr PERC-SOIL,Big Sulphur Cr SATURATION FRACTION,Dry Creek 10 ET-POTENTIAL,Dry Creek 10 FLOW,Dry Creek 10 FLOW-BASE,Dry Creek 10 INFILTRATION,Dry Creek 10 PERC-SOIL,Dry Creek 10 SATURATION FRACTION,Green Valley ET-POTENTIAL,Green Valley FLOW,Green Valley FLOW-BASE,Green Valley INFILTRATION,Green Valley PERC-SOIL,Green Valley SATURATION FRACTION,Laguna ET-POTENTIAL,Laguna FLOW,Laguna FLOW-BASE,Laguna INFILTRATION,Laguna PERC-SOIL,Laguna SATURATION FRACTION,Russian 20 ET-POTENTIAL,Russian 20 FLOW,Russian 20 FLOW-BASE,Russian 20 INFILTRATION,Russian 20 PERC-SOIL,Russian 20 SATURATION FRACTION,Russian 30 ET-POTENTIAL,Russian 30 FLOW,Russian 30 FLOW-BASE,Russian 30 INFILTRATION,Russian 30 PERC-SOIL,Russian 30 SATURATION FRACTION,Russian 40 ET-POTENTIAL,Russian 40 FLOW,Russian 40 FLOW-BASE,Russian 40 INFILTRATION,Russian 40 PERC-SOIL,Russian 40 SATURATION FRACTION,Russian 50 ET-POTENTIAL,Russian 50 FLOW,Russian 50 FLOW-BASE,Russian 50 INFILTRATION,Russian 50 PERC-SOIL,Russian 50 SATURATION FRACTION,Russian 60 ET-POTENTIAL,Russian 60 FLOW,Russian 60 FLOW-BASE,Russian 60 INFILTRATION,Russian 60 PERC-SOIL,Russian 60 SATURATION FRACTION,Russian 70 ET-POTENTIAL,Russian 70 FLOW,Russian 70 FLOW-BASE,Russian 70 INFILTRATION,Russian 70 PERC-SOIL,Russian 70 SATURATION FRACTION,Santa Rosa Cr 10 ET-POTENTIAL,Santa Rosa Cr 10 FLOW,Santa Rosa Cr 10 FLOW-BASE,Santa Rosa Cr 10 INFILTRATION,Santa Rosa Cr 10 PERC-SOIL,Santa Rosa Cr 10 SATURATION FRACTION,Santa Rosa Cr 20 ET-POTENTIAL,Santa Rosa Cr 20 FLOW,Santa Rosa Cr 20 FLOW-BASE,Santa Rosa Cr 20 INFILTRATION,Santa Rosa Cr 20 PERC-SOIL,Santa Rosa Cr 20 SATURATION FRACTION,WF Russian ET-POTENTIAL,WF Russian FLOW,WF Russian FLOW-BASE,WF Russian INFILTRATION,WF Russian PERC-SOIL,WF Russian SATURATION FRACTION
Units,, ,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type,, ,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,30-Sep-94,24:00:00,227.236758,0.00165,0.0,0.0,0.0,0.0,0.0,0.001929,0.0,0.0,0.0,0.0,0.0,0.001929,0.0,0.0,0.0,0.0,0.0,0.00193,0.0,0.0,0.0,0.0,0.0,0.001928,0.0,0.0,0.0,0.0,0.0,0.00193,0.0,0.0,0.0,0.0,0.0,0.001645,0.0,0.0,0.0,0.0,0.0,0.001646,0.0,0.0,0.0,0.0,0.0,0.001439,0.0,0.0,0.0,0.0,0.0,0.001438,0.0,0.0,0.0,0.0,0.0,0.00193,0.0,0.0,0.0,0.0,0.0,0.001931,0.0,0.0,0.0,0.0,0.0,0.001232,0.0,0.0,0.0,0.0,0.0
2,01-Oct-94,24:00:00,236.9429,0.002642,0.0,0.0,0.0,0.0,0.0,0.002612,0.0,0.0,0.0,0.0,0.0,0.002612,0.0,0.0,0.0,0.0,0.0,0.002613,0.0,0.0,0.0,0.0,0.0,0.002612,0.0,0.0,0.0,0.0,0.0,0.002613,0.0,0.0,0.0,0.0,0.0,0.002639,0.0,0.0,0.0,0.0,0.0,0.002639,0.0,0.0,0.0,0.0,0.0,0.002308,0.0,0.0,0.0,0.0,0.0,0.002307,0.0,0.0,0.0,0.0,0.0,0.002613,0.0,0.0,0.0,0.0,0.0,0.002615,0.0,0.0,0.0,0.0,0.0,0.001977,0.0,0.0,0.0,0.0,0.0
3,02-Oct-94,24:00:00,241.414533,0.002301,0.0,0.0,0.0,0.0,0.0,0.002209,0.0,0.0,0.0,0.0,0.0,0.00221,0.0,0.0,0.0,0.0,0.0,0.002211,0.0,0.0,0.0,0.0,0.0,0.002209,0.0,0.0,0.0,0.0,0.0,0.00221,0.0,0.0,0.0,0.0,0.0,0.002296,0.0,0.0,0.0,0.0,0.0,0.002297,0.0,0.0,0.0,0.0,0.0,0.002008,0.0,0.0,0.0,0.0,0.0,0.002008,0.0,0.0,0.0,0.0,0.0,0.00221,0.0,0.0,0.0,0.0,0.0,0.002211,0.0,0.0,0.0,0.0,0.0,0.00172,0.0,0.0,0.0,0.0,0.0
4,03-Oct-94,24:00:00,284.481244,0.000647,1.354346,0.0,0.013028,0.0,0.017524,0.000646,1.304136,0.0,0.018383,0.0,0.02717,0.000647,5.604208,0.0,0.040008,0.0,0.045142,0.000647,36.616495,0.0,0.033216,0.0,0.037413,0.000646,8.326732,0.0,0.026001,0.0,0.033888,0.000647,6.405341,0.0,0.022937,0.0,0.027394,0.000645,4.556733,0.0,0.006487,0.0,0.011909,0.000646,0.488965,0.0,0.008045,0.0,0.01163,0.000564,0.252654,0.0,0.004533,0.0,0.0057,0.000564,0.585824,0.0,0.000677,0.0,0.000774,0.000647,17.73924,0.0,0.029023,0.0,0.037052,0.000648,94.25345,0.0,0.032079,0.0,0.03961,0.000483,0.0,0.0,0.0,0.0,0.0
5,04-Oct-94,24:00:00,881.285899,0.001277,1.364262,0.0,0.0,0.0,0.044667,0.001845,3.497907,0.0,0.0,0.0,0.073533,0.001846,31.390877,0.0,0.0,0.0,0.160032,0.001847,166.692601,0.0,0.0,0.0,0.132864,0.001845,20.053161,0.0,0.0,0.0,0.104004,0.001847,5.400271,0.0,0.0,0.0,0.078641,0.001274,1.65329,0.0,0.0,0.0,0.02224,0.001274,0.771807,0.0,0.0,0.0,0.027581,0.001114,0.357461,0.0,0.0,0.0,0.015542,0.001114,0.779468,0.0,0.0,0.0,0.002322,0.001847,60.229555,0.0,0.0,0.0,0.11609,0.001849,288.54699,0.0,0.0,0.0,0.128315,0.000954,0.0,0.0,0.0,0.0,0.0
6,05-Oct-94,24:00:00,421.214856,0.002058,0.135076,0.0,0.0,0.0,0.044667,0.002025,0.904618,0.0,0.0,0.0,0.073533,0.002026,9.361207,0.0,0.0,0.0,0.160032,0.002027,41.657827,0.0,0.0,0.0,0.132864,0.002025,3.621478,0.0,0.0,0.0,0.104004,0.002026,0.225676,0.0,0.0,0.0,0.078641,0.002055,0.063498,0.0,0.0,0.0,0.02224,0.002055,0.155733,0.0,0.0,0.0,0.027581,0.001797,0.023481,0.0,0.0,0.0,0.015542,0.001797,0.034451,0.0,0.0,0.0,0.002322,0.002026,14.622358,0.0,0.0,0.0,0.11609,0.002027,60.23982,0.0,0.0,0.0,0.128315,0.001539,0.0,0.0,0.0,0.0,0.0
7,06-Oct-94,24:00:00,272.60677,0.002191,0.001351,0.0,0.0,0.0,0.042676,0.002374,0.231252,0.0,0.0,0.0,0.069801,0.002375,2.681273,0.0,0.0,0.0,0.156312,0.002376,10.148412,0.0,0.0,0.0,0.129139,0.002374,0.63238,0.0,0.0,0.0,0.100272,0.002376,0.0,0.0,0.0,0.0,0.075434,0.002187,0.0,0.0,0.0,0.0,0.020264,0.002187,0.031322,0.0,0.0,0.0,0.025604,0.001913,0.0,0.0,0.0,0.0,0.014663,0.001912,0.0,0.0,0.0,0.0,0.001459,0.002376,3.502785,0.0,0.0,0.0,0.112349,0.002378,12.413894,0.0,0.0,0.0,0.124582,0.001638,0.0,0.0,0.0,0.0,0.0
8,07-Oct-94,24:00:00,232.684855,0.002032,0.0,0.0,0.0,0.0,0.036523,0.002057,0.049735,0.0,0.0,0.0,0.061169,0.002058,0.76798,0.0,0.0,0.0,0.147686,0.002059,2.019305,0.0,0.0,0.0,0.120505,0.002057,0.001227,0.0,0.0,0.0,0.091641,0.002059,0.0,0.0,0.0,0.0,0.068026,0.002028,0.0,0.0,0.0,0.0,0.014135,0.002028,0.00109,0.0,0.0,0.0,0.019473,0.001773,0.0,0.0,0.0,0.0,0.010243,0.001773,0.0,0.0,0.0,0.0,0.0,0.002059,0.63679,0.0,0.0,0.0,0.103704,0.00206,1.013591,0.0,0.0,0.0,0.115941,0.001519,0.0,0.0,0.0,0.0,0.0
