Col number,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
   Ordinate,Date,Time,Hopland Gage FLOW,Russian 60 ET-POTENTIAL,Russian 60 FLOW,Russian 60 FLOW-BASE,Russian 60 INFILTRATION,Russian 60 PERC-SOIL,Russian 60 SATURATION FRACTION,Russian 70 ET-POTENTIAL,Russian 70 FLOW,Russian 70 FLOW-BASE,Russian 70 INFILTRATION,Russian 70 PERC-SOIL,Russian 70 SATURATION FRACTION,WF Russian ET-POTENTIAL,WF Russian FLOW,WF Russian FLOW-BASE,WF Russian INFILTRATION,WF Russian PERC-SOIL,WF Russian SATURATION FRACTION
Units,, ,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type,, ,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,30-Sep-94,24:00:00,153.0,0.001439,0.0,0.0,0.0,0.0,0.0,0.001438,0.0,0.0,0.0,0.0,0.0,0.001232,0.0,0.0,0.0,0.0,0.0
2,01-Oct-94,24:00:00,153.0,0.002308,0.0,0.0,0.0,0.0,0.0,0.002307,0.0,0.0,0.0,0.0,0.0,0.001977,0.0,0.0,0.0,0.0,0.0
3,02-Oct-94,24:00:00,153.0,0.002008,0.0,0.0,0.0,0.0,0.0,0.002008,0.0,0.0,0.0,0.0,0.0,0.00172,0.0,0.0,0.0,0.0,0.0
4,03-Oct-94,24:00:00,147.385377,0.000564,0.252654,0.0,0.004533,0.0,0.0057,0.000564,0.585824,0.0,0.000677,0.0,0.000774,0.000483,0.0,0.0,0.0,0.0,0.0
5,04-Oct-94,24:00:00,134.286019,0.001114,0.357461,0.0,0.0,0.0,0.015542,0.001114,0.779468,0.0,0.0,0.0,0.002322,0.000954,0.0,0.0,0.0,0.0,0.0
6,05-Oct-94,24:00:00,122.354715,0.001797,0.023481,0.0,0.0,0.0,0.015542,0.001797,0.034451,0.0,0.0,0.0,0.002322,0.001539,0.0,0.0,0.0,0.0,0.0
7,06-Oct-94,24:00:00,119.27463,0.001913,0.0,0.0,0.0,0.0,0.014663,0.001912,0.0,0.0,0.0,0.0,0.001459,0.001638,0.0,0.0,0.0,0.0,0.0
8,07-Oct-94,24:00:00,119.014252,0.001773,0.0,0.0,0.0,0.0,0.010243,0.001773,0.0,0.0,0.0,0.0,0.0,0.001519,0.0,0.0,0.0,0.0,0.0
9,08-Oct-94,24:00:00,119.000636,0.001694,0.0,0.0,0.0,0.0,0.004443,0.001693,0.0,0.0,0.0,0.0,0.0,0.00145,0.0,0.0,0.0,0.0,0.0
