Col number,,,1,2,3,4,5,6,7,8,9,10,11,12,13
   Ordinate,Date,Time,Warm Springs Dam Inflow FLOW,Dry Creek 20 ET-POTENTIAL,Dry Creek 20 FLOW,Dry Creek 20 FLOW-BASE,Dry Creek 20 INFILTRATION,Dry Creek 20 PERC-SOIL,Dry Creek 20 SATURATION FRACTION,Dry Creek 30 ET-POTENTIAL,Dry Creek 30 FLOW,Dry Creek 30 FLOW-BASE,Dry Creek 30 INFILTRATION,Dry Creek 30 PERC-SOIL,Dry Creek 30 SATURATION FRACTION
Units, ,,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type, ,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,30-Sep-94,24:00:00,64.826,0.001447,21.107,21.107,0.0,0.0,0.0,0.001234,43.719,43.719,0.0,0.0,0.0
2,01-Oct-94,24:00:00,64.825995,0.001959,21.106998,21.106998,0.0,0.0,0.0,0.001979,43.718997,43.718997,0.0,0.0,0.0
3,02-Oct-94,24:00:00,64.825981,0.001657,21.106994,21.106994,0.0,0.0,0.0,0.001722,43.718987,43.718987,0.0,0.0,0.0
4,03-Oct-94,24:00:00,88.074772,0.000485,31.764883,21.106983,0.013511,0.0,0.0204,0.000484,56.476407,43.718965,0.010616,0.0,0.016866
5,04-Oct-94,24:00:00,70.566508,0.001384,21.491334,21.106965,0.0,0.0,0.046324,0.000956,48.910712,43.718928,0.0,0.0,0.036399
6,05-Oct-94,24:00:00,64.849843,0.001519,21.106937,21.106937,0.0,0.0,0.046324,0.001541,43.740795,43.718869,0.0,0.0,0.036399
7,06-Oct-94,24:00:00,64.825681,0.001781,21.106896,21.106896,0.0,0.0,0.045696,0.00164,43.718784,43.718784,0.0,0.0,0.036399
8,07-Oct-94,24:00:00,64.825512,0.001543,21.106841,21.106841,0.0,0.0,0.041934,0.001521,43.71867,43.71867,0.0,0.0,0.033954
9,08-Oct-94,24:00:00,64.825292,0.001104,21.106769,21.106769,0.0,0.0,0.037436,0.001452,43.718522,43.718522,0.0,0.0,0.02901
10,09-Oct-94,24:00:00,64.825015,0.001138,21.106679,21.106679,0.0,0.0,0.033698,0.001481,43.718335,43.718335,0.0,0.0,0.023804
11,10-Oct-94,24:00:00,64.824674,0.00127,21.106568,21.106568,0.0,0.0,0.029568,0.00131,43.718105,43.718105,0.0,0.0,0.019105
12,11-Oct-94,24:00:00,64.824264,0.002005,21.106434,21.106434,0.0,0.0,0.024014,0.001565,43.717828,43.717828,0.0,0.0,0.014179
13,12-Oct-94,24:00:00,64.823779,0.00182,21.106276,21.106276,0.0,0.0,0.017532,0.001601,43.7175,43.7175,0.0,0.0,0.008866
14,13-Oct-94,24:00:00,64.823211,0.001863,21.106091,21.106091,0.0,0.0,0.011364,0.001425,43.717117,43.717117,0.0,0.0,0.003824
15,14-Oct-94,24:00:00,64.822556,0.002086,21.105878,21.105878,0.0,0.0,0.004165,0.001641,43.716675,43.716675,0.0,0.0,0.000194
16,15-Oct-94,24:00:00,64.821807,0.001812,21.105634,21.105634,0.0,0.0,0.000181,0.001396,43.71617,43.71617,0.0,0.0,0.0
17,16-Oct-94,24:00:00,64.82096,0.001183,21.105358,21.105358,0.0,0.0,0.0,0.000956,43.715598,43.715598,0.0,0.0,0.0
18,17-Oct-94,24:00:00,64.820008,0.001479,21.105047,21.105047,0.0,0.0,0.0,0.001424,43.714955,43.714955,0.0,0.0,0.0
19,18-Oct-94,24:00:00,64.818945,0.001092,21.104701,21.104701,0.0,0.0,0.0,0.001364,43.714238,43.714238,0.0,0.0,0.0
20,19-Oct-94,24:00:00,64.817766,0.001182,21.104317,21.104317,0.0,0.0,0.0,0.001214,43.713443,43.713443,0.0,0.0,0.0
21,20-Oct-94,24:00:00,64.816466,0.001482,21.103894,21.103894,0.0,0.0,0.0,0.001261,43.712566,43.712566,0.0,0.0,0.0
22,21-Oct-94,24:00:00,64.81504,0.001434,21.103429,21.103429,0.0,0.0,0.0,0.001182,43.711603,43.711603,0.0,0.0,0.0
23,22-Oct-94,24:00:00,64.813482,0.001487,21.102921,21.102921,0.0,0.0,0.0,0.001405,43.710552,43.710552,0.0,0.0,0.0
24,23-Oct-94,24:00:00,64.811787,0.001273,21.102369,21.102369,0.0,0.0,0.0,0.001141,43.709409,43.709409,0.0,0.0,0.0
25,24-Oct-94,24:00:00,64.80995,0.000707,21.101771,21.101771,0.0,0.0,0.0,0.000733,43.708169,43.708169,0.0,0.0,0.0
26,25-Oct-94,24:00:00,64.807967,0.000746,21.101125,21.101125,0.0,0.0,0.0,0.000763,43.706831,43.706831,0.0,0.0,0.0
27,26-Oct-94,24:00:00,64.805831,0.001039,21.10043,21.10043,0.0,0.0,0.0,0.000785,43.705391,43.705391,0.0,0.0,0.0
28,27-Oct-94,24:00:00,64.803539,0.001153,21.099683,21.099683,0.0,0.0,0.0,0.001044,43.703845,43.703845,0.0,0.0,0.0
29,28-Oct-94,24:00:00,64.801086,0.001075,21.098884,21.098884,0.0,0.0,0.0,0.001092,43.70219,43.70219,0.0,0.0,0.0
30,29-Oct-94,24:00:00,64.798467,0.001086,21.098031,21.098031,0.0,0.0,0.0,0.001069,43.700423,43.700423,0.0,0.0,0.0
31,30-Oct-94,24:00:00,64.795678,0.000974,21.097123,21.097123,0.0,0.0,0.0,0.000836,43.698541,43.698541,0.0,0.0,0.0
32,31-Oct-94,24:00:00,64.792713,0.000653,21.096157,21.096157,0.0,0.0,0.0,0.000581,43.696541,43.696541,0.0,0.0,0.0
33,01-Nov-94,24:00:00,64.78957,0.001411,21.095133,21.095133,0.0,0.0,0.0,0.001098,43.694421,43.694421,0.0,0.0,0.0
34,02-Nov-94,24:00:00,64.786242,0.001068,21.09405,21.09405,0.0,0.0,0.0,0.000906,43.692176,43.692176,0.0,0.0,0.0
35,03-Nov-94,24:00:00,66.948887,0.000532,22.73299,21.092905,0.010688,0.0,0.002436,0.000434,44.293501,43.689805,0.012313,0.0,0.002889
36,04-Nov-94,24:00:00,249.459444,0.000216,101.930825,21.091697,0.09654,0.0,0.262571,0.0003,147.928758,43.687304,0.063262,0.0,0.190772
37,05-Nov-94,24:00:00,112.961173,0.000278,31.145332,21.090426,0.005997,0.0,0.387076,0.000306,81.371352,43.68467,0.009113,0.0,0.287946
38,06-Nov-94,24:00:00,65.631353,0.000836,21.08909,21.08909,0.0,0.0,0.388198,0.000768,44.509468,43.681902,0.0,0.0,0.290358
39,07-Nov-94,24:00:00,64.766704,0.000672,21.087686,21.087686,0.0,0.0,0.388198,0.00076,43.678996,43.678996,0.0,0.0,0.290358
40,08-Nov-94,24:00:00,273.394801,0.000248,101.764771,21.086215,0.099222,0.0,0.608972,0.000263,172.209484,43.675949,0.086202,0.0,0.491208
41,09-Nov-94,24:00:00,83.126321,0.000604,21.496248,21.084676,0.0,0.0,0.728386,0.000604,61.055803,43.67276,0.0,0.0,0.585909
42,10-Nov-94,24:00:00,64.760895,0.000792,21.083066,21.083066,0.0,0.0,0.728386,0.00039,43.67624,43.669425,0.0,0.0,0.585909
43,11-Nov-94,24:00:00,64.747352,0.000866,21.081384,21.081384,0.0,0.0,0.728386,0.000866,43.665942,43.665942,0.0,0.0,0.585909
44,12-Nov-94,24:00:00,64.741966,0.000855,21.07963,21.07963,0.0,0.0,0.728386,0.000734,43.662309,43.662309,0.0,0.0,0.585909
45,13-Nov-94,24:00:00,64.736353,0.000884,21.077802,21.077802,0.0,0.0,0.728386,0.000841,43.658522,43.658522,0.0,0.0,0.585909
46,14-Nov-94,24:00:00,130.5187,0.000533,48.984392,21.075899,0.034151,0.0,0.80347,0.000493,81.727358,43.654581,0.025945,0.0,0.642322
47,15-Nov-94,24:00:00,70.766442,0.000831,21.076143,21.07392,0.0,0.0,0.845477,0.000652,49.497302,43.650482,0.0,0.0,0.674863
48,16-Nov-94,24:00:00,64.71812,0.001005,21.071865,21.071865,0.0,0.0,0.845477,0.000808,43.646224,43.646224,0.0,0.0,0.674863
49,17-Nov-94,24:00:00,64.711566,0.001131,21.06973,21.06973,0.0,0.0,0.845477,0.000821,43.641803,43.641803,0.0,0.0,0.674863
50,18-Nov-94,24:00:00,64.70477,0.000789,21.067517,21.067517,0.0,0.0,0.845477,0.000552,43.637219,43.637219,0.0,0.0,0.674863
51,19-Nov-94,24:00:00,64.697726,0.000327,21.065223,21.065223,0.0,0.0,0.845058,0.000115,43.632468,43.632468,0.0,0.0,0.674863
52,20-Nov-94,24:00:00,64.690434,0.000652,21.062848,21.062848,0.0,0.0,0.843461,0.000478,43.627549,43.627549,0.0,0.0,0.674863
53,21-Nov-94,24:00:00,64.682888,0.000709,21.060391,21.060391,0.0,0.0,0.841184,0.000606,43.622459,43.622459,0.0,0.0,0.674615
54,22-Nov-94,24:00:00,64.675087,0.000544,21.057851,21.057851,0.0,0.0,0.839012,0.000446,43.617197,43.617197,0.0,0.0,0.673475
55,23-Nov-94,24:00:00,72.915519,0.000472,26.780926,21.055226,0.032303,0.0,0.84533,0.000349,46.411717,43.611761,0.028964,0.0,0.680803
56,24-Nov-94,24:00:00,245.427307,0.000504,117.45997,77.314878,0.029542,0.01417,0.991924,0.000324,128.052655,43.606148,0.032677,0.0,0.838207
57,25-Nov-94,24:00:00,229.586311,0.000729,166.812325,160.381262,0.002152,0.002152,1.0,0.000583,62.422657,43.600357,0.001158,0.0,0.886981
58,26-Nov-94,24:00:00,177.143943,0.00015,126.108105,119.726368,0.00782,0.00782,1.0,7.4e-05,51.080803,43.594387,0.005292,0.0,0.896844
59,27-Nov-94,24:00:00,96.572993,0.000476,51.220969,51.212041,0.0,0.0,1.0,0.000418,45.296141,43.588234,0.0,0.0,0.905125
60,28-Nov-94,24:00:00,85.646877,0.00053,42.064932,42.064932,0.0,0.0,1.0,0.000416,43.581898,43.581898,0.0,0.0,0.905125
61,29-Nov-94,24:00:00,83.258448,0.000597,39.683023,39.683023,0.0,0.0,1.0,0.000563,43.575377,43.575377,0.0,0.0,0.905125
62,30-Nov-94,24:00:00,81.140166,0.000314,37.571448,37.571448,0.0,0.0,1.0,0.000208,43.568668,43.568668,0.0,0.0,0.905125
63,01-Dec-94,24:00:00,79.260036,0.000298,35.698213,35.698213,0.0,0.0,1.0,0.000278,43.561771,43.561771,0.0,0.0,0.905125
64,02-Dec-94,24:00:00,2595.258322,0.000249,1509.370832,716.404568,0.068992,0.068992,1.0,0.000162,1097.293594,408.891773,0.070167,0.042495,0.977525
65,03-Dec-94,24:00:00,1058.299486,0.000564,205.104992,203.720916,0.0,0.0,1.0,0.000494,843.304695,704.825473,0.0,0.0,1.0
